起始日,出關日,處置類型,代號,名稱,規模,Dn組別,近20日漲幅,大戶(%),買進日,買進時累積(%),最深日,期間最深(%),出關報酬(%),T+1收盤(%),T+2收盤(%),T+3收盤(%),T+4收盤(%),T+5收盤(%),T+6收盤(%),T+7收盤(%),T+8收盤(%),T+9收盤(%),T+10收盤(%),結果,買進日(-5%版),買進時累積(-5%版)(%),出關報酬(-5%版)(%),結果(-5%版),D1累積(%),D2累積(%),D3累積(%),D4累積(%),D5累積(%),D6累積(%),D7累積(%),D8累積(%),D9累積(%),D10累積(%),D1報酬(%),D2報酬(%),D3報酬(%),D4報酬(%),D5報酬(%),D6報酬(%),D7報酬(%),D8報酬(%),D9報酬(%),D10報酬(%),出關後D1(%),出關後D2(%),出關後D3(%),出關後D4(%),出關後D5(%)
2026-06-26,2026-07-03,5分鐘,2481,強茂,大,Dn < -5%,30.17,-1.83,-,,D2,-13.54,,18.29,30.00,23.43,20.86,21.71,9.71,0.57,-0.29,-4.57,-13.43,-,D1,-8.85,20.57,✅ +20.57%,-8.85,-13.54,-4.95,1.30,11.20,,,,,,20.57,27.11,15.62,8.48,-1.17,,,,,,7.82,2.37,0.24,0.95,-9.00
2026-06-26,2026-07-03,5分鐘,5425,台半,中,Dn < -5%,21.53,-3.25,-,,D2,-13.39,,14.41,25.76,14.41,18.78,13.97,2.62,-6.55,-6.11,-10.92,-19.21,-,D1,-9.84,14.41,✅ +14.41%,-9.84,-13.39,-5.12,-4.33,5.12,,,,,,14.41,19.09,8.71,7.82,-1.87,,,,,,9.92,0.00,3.82,-0.38,-10.31
2026-06-26,2026-07-03,5分鐘,6620,漢達,中,Dn < -5%,35.53,-0.04,-,,D1,-5.16,,9.39,14.73,15.26,16.33,6.19,-3.84,-8.75,-6.94,-4.59,-7.68,-,D1,-5.16,6.72,✅ +6.72%,-5.16,-4.76,-3.74,3.24,-0.20,,,,,,6.72,6.27,5.15,-1.96,1.42,,,,,,7.50,8.00,9.00,-0.50,-9.90
2026-06-26,2026-07-13,20分鐘,6834,天二科技,中,Dn < -5%,61.52,-6.39,D3,-5.18,D8,-5.58,20.17,8.40,-0.84,-6.72,-10.08,-19.08,-20.50,-16.72,-15.55,-18.49,-24.29,✅ +20.17%,-,,,-,-3.59,-13.15,-5.18,1.20,3.59,5.18,1.99,-5.58,0.80,3.59,18.18,31.19,20.17,12.60,10.00,8.33,11.72,20.68,13.04,10.00,-17.48,-22.38,-25.17,-32.66,-33.85
2026-06-25,2026-07-02,5分鐘,2316,楠梓電,中,Dn -5%~0%,28.57,-2.05,-,,D3,-4.76,,-8.74,-5.54,-7.89,-12.37,-7.04,-11.30,-20.90,-21.54,-23.88,-24.52,-,-,,,-,6.35,4.31,-4.76,-1.59,-1.13,,,,,,-9.59,-7.83,0.95,-2.30,-2.75,,,,,,4.48,1.89,-3.07,2.83,-1.89
2026-06-25,2026-07-09,20分鐘,3675,德微,中,Dn < -5%,23.65,-3.63,D3,-16.71,D3,-16.71,21.66,15.12,3.63,-3.49,-5.81,-7.85,-17.01,-23.11,-22.24,-20.64,-23.40,✅ +21.66%,-,,,-,-6.66,-12.95,-16.71,-8.47,-4.96,-1.45,1.09,8.96,-1.94,6.54,8.56,16.41,21.66,10.71,6.62,2.83,0.24,-7.00,3.33,-4.89,-14.81,-20.67,-22.58,-24.25,-31.78
2026-06-25,2026-07-02,5分鐘,6715,嘉基,中,Dn < -5%,6.99,0.27,-,,D3,-17.35,,-7.29,1.88,-2.08,-5.83,-9.38,-18.44,-22.29,-23.44,-22.08,-14.38,-,D1,-6.43,-9.38,❌ -9.38%,-6.43,-11.31,-17.35,-15.11,-13.55,,,,,,-9.38,-4.40,2.59,-0.11,-1.92,,,,,,12.41,8.05,3.91,0.00,-10.00
2026-06-24,2026-07-01,5分鐘,1303,南亞,大,Dn -5%~0%,77.38,-0.39,-,,D3,-4.21,,17.31,26.28,26.28,18.59,6.73,16.67,16.35,27.88,34.62,45.83,-,-,,,-,0.97,0.32,-4.21,-1.94,7.77,,,,,,13.78,14.52,19.93,17.16,6.61,,,,,,10.99,10.99,4.23,-6.20,2.54
2026-06-24,2026-07-08,20分鐘,2492,華新科,大,Dn < -5%,79.47,-1.90,D3,-6.41,D4,-10.92,-5.56,-12.22,-13.80,-22.41,-27.78,-29.81,-36.76,-43.06,-48.70,-49.44,-44.44,❌ -5.56%,-,,,-,2.25,3.81,-6.41,-10.92,-2.08,4.51,-2.77,-2.43,-3.47,-13.00,-13.56,-14.86,-5.56,-0.78,-9.73,-15.42,-9.09,-9.41,-8.44,1.59,-8.73,-17.84,-23.53,-25.69,-33.04
2026-06-24,2026-07-08,20分鐘,3624,光頡,中,Dn < -5%,69.15,-3.72,D3,-12.58,D3,-12.58,-1.80,0.72,3.60,-6.47,-15.47,-17.99,-21.94,-29.71,-35.61,-34.60,-32.52,❌ -1.80%,-,,,-,-7.23,-3.14,-12.58,-12.58,-4.09,-2.83,-3.46,-2.52,-6.92,-16.04,-7.46,-11.36,-1.80,-1.80,-10.49,-11.65,-11.07,-11.94,-7.77,2.25,5.49,-4.76,-13.92,-16.48,-20.51
2026-06-24,2026-07-01,5分鐘,6415,矽力*-KY,大,Dn < -5%,4.37,0.20,-,,D3,-11.32,,-2.81,3.14,0.00,2.48,-7.44,-8.93,-13.55,-13.39,-18.43,-16.69,-,D1,-6.20,0.83,✅ +0.83%,-6.20,-4.65,-11.32,-7.29,-7.29,,,,,,0.83,-0.81,6.64,2.01,2.01,,,,,,2.30,-0.82,1.64,-8.20,-9.67
