event_id,ticker,ex_date,offset,cum_ret,mkt_ret,abnormal
8121_2022-12-15,8121,2022-12-15,52,-0.05545617173524153,0.023519163763066286,-0.07897533549830782
8121_2022-12-15,8121,2022-12-15,53,-0.06082289803220031,0.024390243902439046,-0.08521314193463936
8121_2022-12-15,8121,2022-12-15,54,-0.06618962432915909,0.019599303135888535,-0.08578892746504763
8121_2022-12-15,8121,2022-12-15,55,-0.06618962432915909,0.03614982578397208,-0.10233945011313117
8121_2022-12-15,8121,2022-12-15,56,-0.06440071556350624,0.028745644599303066,-0.0931463601628093
8121_2022-12-15,8121,2022-12-15,57,-0.030411449016100156,0.0335365853658538,-0.06394803438195396
8121_2022-12-15,8121,2022-12-15,58,-0.03756708407871201,0.053135888501742334,-0.09070297258045434
8121_2022-12-15,8121,2022-12-15,59,-0.03756708407871201,0.061411149825783884,-0.0989782339044959
8121_2022-12-15,8121,2022-12-15,60,-0.014311270125223596,0.06445993031358888,-0.07877120043881247
6733_2022-12-21,6733,2022-12-21,-30,-0.015801354401805745,-0.05258386219401634,0.036782507792210595
6733_2022-12-21,6733,2022-12-21,-29,-0.040632054176072185,-0.06165004533091567,0.021017991154843485
6733_2022-12-21,6733,2022-12-21,-28,-0.033860045146726914,-0.011786038077969185,-0.02207400706875773
6733_2022-12-21,6733,2022-12-21,-27,-0.020316027088036037,-0.0027198549410697437,-0.017596172146966294
6733_2022-12-21,6733,2022-12-21,-26,-0.02483069977426622,0.03989120580235728,-0.0647219055766235
6733_2022-12-21,6733,2022-12-21,-25,-0.02708803611738142,0.0380779691749773,-0.06516600529235872
6733_2022-12-21,6733,2022-12-21,-24,-0.02708803611738142,0.03853127833182235,-0.06561931444920377
6733_2022-12-21,6733,2022-12-21,-23,0.0,0.035811423390752495,-0.035811423390752495
6733_2022-12-21,6733,2022-12-21,-22,-0.009029345372460473,0.03218495013599276,-0.041214295508453236
6733_2022-12-21,6733,2022-12-21,-21,-0.013544018058690654,0.040797824116047154,-0.05434184217473781
6733_2022-12-21,6733,2022-12-21,-20,-0.013544018058690654,0.04805077062556662,-0.06159478868425727
6733_2022-12-21,6733,2022-12-21,-19,-0.02483069977426622,0.05802357207615594,-0.08285427185042216
6733_2022-12-21,6733,2022-12-21,-18,-0.02483069977426622,0.05802357207615594,-0.08285427185042216
6733_2022-12-21,6733,2022-12-21,-17,-0.020316027088036037,0.03671804170444237,-0.05703406879247841
6733_2022-12-21,6733,2022-12-21,-16,-0.015801354401805745,0.046237533998186864,-0.06203888839999261
6733_2022-12-21,6733,2022-12-21,-15,-0.020316027088036037,0.054850407978241034,-0.07516643506627707
6733_2022-12-21,6733,2022-12-21,-14,0.006772009029345494,0.07298277425203992,-0.06621076522269442
6733_2022-12-21,6733,2022-12-21,-13,-0.004514672686230181,0.06346328195829565,-0.06797795464452583
6733_2022-12-21,6733,2022-12-21,-12,0.040632054176072296,0.06482320942883057,-0.02419115525275828
6733_2022-12-21,6733,2022-12-21,-11,0.02934537246049662,0.045330915684496764,-0.015985543224000143
6733_2022-12-21,6733,2022-12-21,-10,0.02934537246049662,0.03898458748866718,-0.009639215028170556
6733_2022-12-21,6733,2022-12-21,-9,0.038374717832957206,0.026745240253853053,0.011629477579104153
6733_2022-12-21,6733,2022-12-21,-8,0.0744920993227991,0.04261106074342713,0.03188103857937197
