anchor,year,horizon,n,mean_ret,win_rate
公告日,2009,7,53,0.0020977484198610526,0.4528301886792453
公告日,2009,8,53,0.0013773880976306082,0.4528301886792453
公告日,2009,9,53,0.0048697307325838365,0.41509433962264153
公告日,2009,-10,53,-0.01743388606453319,0.4528301886792453
公告日,2009,-1,53,0.0,0.0
公告日,2009,-20,53,-0.0493586587143632,0.32075471698113206
公告日,2009,-2,53,-0.001962127646429739,0.4339622641509434
公告日,2009,-3,53,-0.0030900861723040488,0.4528301886792453
公告日,2009,-4,53,-0.003053876192110616,0.5283018867924528
公告日,2009,-5,53,-0.006823677991870915,0.5283018867924528
公告日,2009,-6,53,-0.007550861711668652,0.5094339622641509
公告日,2009,-7,53,-0.00808066470178928,0.5471698113207547
公告日,2009,-8,53,-0.009241523133626329,0.4339622641509434
公告日,2009,-9,53,-0.008759030304220218,0.39622641509433965
公告日,2010,0,78,0.0007845677786239541,0.4230769230769231
公告日,2010,10,78,-0.02785101239062458,0.3333333333333333
公告日,2010,1,78,-0.0027357576805160148,0.3974358974358974
公告日,2010,20,78,-0.04038837852289596,0.2948717948717949
公告日,2010,2,78,-0.008734362646768643,0.2948717948717949
公告日,2010,30,78,-0.02366989266643888,0.32051282051282054
公告日,2010,3,78,-0.008563016878737345,0.3974358974358974
公告日,2010,4,78,-0.005727343125116018,0.358974358974359
公告日,2010,5,78,-0.014819713617111005,0.3333333333333333
公告日,2010,60,78,-0.023264721889540006,0.38461538461538464
公告日,2010,6,78,-0.020263980959726504,0.32051282051282054
公告日,2010,7,78,-0.01995182157759035,0.3717948717948718
公告日,2010,8,78,-0.01895241183377674,0.3076923076923077
公告日,2010,9,78,-0.0236251318130416,0.38461538461538464
公告日,2010,-10,78,-0.016110406530848616,0.3974358974358974
公告日,2010,-1,78,0.0,0.0
公告日,2010,-20,78,-0.03422711478204644,0.3974358974358974
公告日,2010,-2,78,0.005108095656211291,0.5897435897435898
公告日,2010,-3,78,0.006120923187880428,0.5512820512820513
公告日,2010,-4,78,0.00799698334057025,0.5384615384615384
公告日,2010,-5,78,0.006361375876019666,0.5
公告日,2010,-6,78,0.004992627719180696,0.47435897435897434
公告日,2010,-7,78,0.0027718701316701787,0.47435897435897434
公告日,2010,-8,78,-0.0037229608230998834,0.47435897435897434
公告日,2010,-9,78,-0.007733108082619953,0.4358974358974359
公告日,2011,0,66,-0.004459776888709824,0.3939393939393939
公告日,2011,10,66,-0.05973905340875593,0.19696969696969696
公告日,2011,1,66,-0.00971078056448437,0.3181818181818182
公告日,2011,20,66,-0.07203748366748669,0.19696969696969696
公告日,2011,2,66,-0.016247949510140896,0.30303030303030304
公告日,2011,30,66,-0.0920628764290866,0.21212121212121213
公告日,2011,3,66,-0.018753166362180055,0.3787878787878788
公告日,2011,4,66,-0.02615675721540553,0.22727272727272727
