代號,名稱,規模,年份,起始日,出關日,條款,前日漲幅(%),D1跳空(%),符合因子,加強訊號,D1%,D3%,D5%,D8%,策略報酬(%)
3535,晶彩科,中,2026,2026-06-05,2026-06-22,10日6次,1.11,-2.55,,,-4.74,-1.82,-9.49,-6.57,-1.89
4707,磐亞,小,2026,2026-06-05,2026-06-22,連續3日,6.57,-4.98,✅,⭐,-5.21,-2.84,-5.92,-2.61,15.64
8454,富邦媒,大,2026,2026-06-05,2026-06-22,10日6次,9.93,3.74,,,9.97,32.87,23.36,0.00,-5.46
1409,新纖,中,2026,2026-06-04,2026-06-18,10日6次,9.98,-1.16,,,-9.90,-18.15,-16.01,-16.01,-6.58
3346,麗清,小,2026,2026-06-04,2026-06-18,10日6次,1.09,7.53,,,9.89,7.53,4.52,7.96,-7.60
3481,群創,大,2026,2026-06-04,2026-06-18,10日6次,5.69,-4.21,✅,⭐,-6.06,-18.60,-25.42,-13.47,15.06
3556,禾瑞亞,小,2026,2026-06-04,2026-06-18,連續3日,-5.47,-1.32,,,-4.21,-8.55,-10.53,-5.13,1.29
6548,長科*,大,2026,2026-06-04,2026-06-18,連續3日,9.99,0.00,,,9.98,-7.51,-8.30,2.91,-12.59
7709,榮田,小,2026,2026-06-04,2026-06-18,連續3日,-4.87,-0.39,,,-3.54,-7.87,-8.66,-7.87,-15.05
1563,巧新,中,2026,2026-06-03,2026-06-17,10日6次,-0.14,-1.15,,,-2.87,-6.45,-11.17,-13.90,-9.50
2337,旺宏,大,2026,2026-06-03,2026-06-17,10日6次,4.78,1.14,✅,,-7.69,-14.53,-17.09,-16.52,-0.67
2302,麗正,小,2026,2026-06-02,2026-06-16,10日6次,2.00,-0.65,✅,⭐,-3.27,-9.15,-17.39,-17.65,12.62
3485,敘豐,中,2026,2026-06-02,2026-06-16,連續3日,9.88,-0.82,,,-2.18,0.27,-12.81,-17.71,-12.33
3523,迎輝,小,2026,2026-06-02,2026-06-16,連續3日,9.72,10.00,,,10.00,32.86,8.00,-7.43,-17.24
3528,安馳,小,2026,2026-06-02,2026-06-16,10日6次,9.79,-0.39,,,-1.55,8.53,-3.49,-9.30,-3.51
4973,廣穎,中,2026,2026-06-02,2026-06-16,連續3日,-2.19,-1.60,,,0.00,12.46,2.24,22.36,20.73
6654,天正國際,小,2026,2026-06-02,2026-06-16,連續3日,9.74,9.76,,,0.59,0.30,-0.30,-0.89,21.41
6770,力積電,大,2026,2026-06-02,2026-06-16,10日6次,-1.92,0.00,,,-1.26,-6.90,-22.41,-25.98,-17.70
1568,倉佑,小,2026,2026-06-01,2026-06-15,10日6次,9.94,2.54,,,9.81,2.09,-3.42,-16.21,-14.81
2375,凱美,中,2026,2026-06-01,2026-06-15,10日6次,3.10,-1.80,✅,⭐,-1.50,-6.61,-6.31,-4.80,15.19
2472,立隆電,大,2026,2026-06-01,2026-06-15,10日6次,0.00,3.23,,,5.66,-3.23,-2.02,-9.57,-1.89
3021,鴻名,小,2026,2026-06-01,2026-06-15,10日6次,9.85,9.97,,,9.97,32.89,7.64,-10.30,-5.95
