offset,cum_ret,mkt_ret,abnormal
13,-0.025214660826757784,0.0064951378666325945,-0.03170979869339038
14,-0.02612250168096469,0.007204793746454695,-0.033327295427419384
15,-0.026493584032796887,0.007422511618591442,-0.033916095651388325
16,-0.028632685631507677,0.00759012870416754,-0.036222814335675216
17,-0.029922631619593475,0.008041633979550267,-0.037964265599143746
18,-0.029999327436608478,0.008345418825732049,-0.03834474626234052
19,-0.03032126837946086,0.008924491320966368,-0.03924575970042722
20,-0.030518210132139373,0.009439865561020432,-0.03995807569315981
21,-0.03236507463020645,0.00952777373098395,-0.0418928483611904
22,-0.03400943742318571,0.009990036057445981,-0.04399947348063169
23,-0.03472727755199381,0.00989257151543988,-0.04461984906743369
24,-0.034727966583681234,0.010212561642311612,-0.04494052822599284
25,-0.034150397944944406,0.010321158699240544,-0.04447155664418495
26,-0.03418518232375508,0.010767827379058998,-0.04495300970281408
27,-0.033954829317908976,0.010931458164783673,-0.04488628748269265
28,-0.033829769043021686,0.012336421973156018,-0.04616619101617771
29,-0.034362584831339915,0.011926157746547494,-0.04628874257788741
30,-0.03397969975554364,0.012461502840766496,-0.04644120259631013
31,-0.03309315220552445,0.01338567516635716,-0.04647882737188161
32,-0.03150312279358916,0.014282644299026887,-0.045785767092616045
33,-0.03192001964836163,0.014809481919018,-0.046729501567379636
34,-0.03011457885978885,0.01579509233174097,-0.04590967119152982
35,-0.030546418366107865,0.015636722500032445,-0.0461831408661403
36,-0.0312438184507838,0.015972506850966812,-0.04721632530175061
37,-0.030579772819774947,0.016472323693852455,-0.047052096513627406
38,-0.03052845772624657,0.016875195584004868,-0.04740365331025143
39,-0.030521475355700795,0.01680146620574011,-0.0473229415614409
40,-0.028673912004806595,0.017305876027543365,-0.04597978803234996
41,-0.02775528836529855,0.01692056773552219,-0.04467585610082074
42,-0.02796859935687185,0.01727888353702932,-0.04524748289390116
43,-0.02887197554756158,0.01767843567009836,-0.04655041121765994
44,-0.029129501955949003,0.01778474342827744,-0.046914245384226436
45,-0.02758414413022213,0.018347465994957023,-0.04593161012517915
46,-0.027400855978499335,0.019029815393858993,-0.04643067137235833
47,-0.02823984025096068,0.01920190852265943,-0.04744174877362011
48,-0.027838145822142474,0.019541464348741794,-0.04737961017088427
49,-0.02776408665222933,0.019980552267227187,-0.04774463891945651
50,-0.026455594346542734,0.020545274946799103,-0.04700086929334184
51,-0.02625821855621001,0.021306364503981667,-0.04756458306019167
52,-0.02513613596948922,0.021733051397117238,-0.04686918736660645
53,-0.023991490517632504,0.02241888579635607,-0.04641037631398858
54,-0.024769182291485885,0.022749923120780877,-0.047519105412266754
55,-0.024688804294536765,0.02320502958389299,-0.047893833878429756
56,-0.02414522521005624,0.024418768188684794,-0.048563993398741026
57,-0.02335875379190343,0.025021216931799515,-0.048379970723702946
58,-0.02237204047993956,0.02583230101543421,-0.04820434149537377
