pair,branch_i,branch_j,d0,code,d1,period,i_net_amt_wan,i_influence_pct,j_net_amt_wan,j_influence_pct,d1_open,d1_high,d1_close,stop_price,stopped,frozen,short_ret_pct,abs20_excluded,success
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-11-28,4945,2023-11-29,in_sample,2313.52,4.2161,2904.0,5.2922,100.0,104.5,98.3,103.88,True,False,-3.88,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-11-28,6243,2023-11-29,in_sample,2719.52,2.034,2837.76,2.1224,74.8,78.3,77.8,79.576,False,False,-4.0107,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-11-29,6117,2023-11-30,in_sample,2691.14,2.8083,2769.96,2.8905,58.6,61.9,61.9,60.662,True,False,-3.5188,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-11-30,1582,2023-12-01,in_sample,3218.4,2.9346,3888.9,3.546,90.0,97.4,92.1,96.334,True,False,-7.0378,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-11-30,5432,2023-12-01,in_sample,636.0,9.5217,74.2,1.1109,110.0,110.5,99.2,114.17,False,False,9.8182,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-11-30,6693,2023-12-01,in_sample,361.63,3.149,378.45,3.2955,86.3,88.4,82.7,90.65,False,False,4.1715,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-01,2641,2023-12-04,in_sample,399.99,0.5747,1802.97,2.5907,22.0,22.1,22.1,21.658,True,False,1.5545,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-01,4909,2023-12-04,in_sample,1084.05,2.3863,1333.53,2.9355,31.0,32.1,30.0,31.997,True,False,-3.2161,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-01,6117,2023-12-04,in_sample,1162.8,0.3654,5270.0,1.6559,73.5,74.6,69.0,73.304,True,False,0.2667,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-04,2605,2023-12-05,in_sample,4603.34,3.497,2528.3,1.9207,28.0,28.8,28.8,28.224,True,False,-0.8,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-04,2612,2023-12-05,in_sample,2845.68,4.6778,1704.0,2.8011,60.2,62.4,56.4,61.152,True,False,-1.5814,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-04,2617,2023-12-05,in_sample,3213.315,5.074,1725.08,2.724,37.5,38.15,36.05,38.073,True,False,-1.528,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-04,6143,2023-12-05,in_sample,5510.5,3.8125,3131.2,2.1664,103.0,105.0,103.0,110.74,False,False,0.0,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-04,6194,2023-12-05,in_sample,2190.98,9.6471,1082.5,4.7664,45.6,46.2,41.5,46.648,False,False,8.9912,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-05,1503,2023-12-06,in_sample,4087.0,1.4399,2440.0,0.8597,125.0,133.5,130.5,131.32,True,False,-5.056,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-05,1514,2023-12-06,in_sample,8238.25,1.751,4642.25,0.9867,79.0,82.4,78.7,83.496,False,False,0.3797,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-05,6117,2023-12-06,in_sample,6831.0,4.0564,789.36,0.4687,80.8,82.2,77.0,81.732,True,False,-1.1535,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-06,3041,2023-12-07,in_sample,5921.575,4.7033,3297.965,2.6194,34.5,35.45,32.5,36.162,False,False,5.7971,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-06,4561,2023-12-07,in_sample,868.175,4.4962,423.5,2.1933,43.25,46.05,42.65,45.619,True,False,-5.4775,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-06,6233,2023-12-07,in_sample,1522.725,2.1065,1834.98,2.5385,39.75,40.75,37.95,41.552,False,False,4.5283,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-06,6243,2023-12-07,in_sample,4767.4,4.2557,2750.12,2.4549,80.0,80.1,73.2,84.868,False,False,8.5,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-06,6695,2023-12-07,in_sample,1168.2,3.209,616.55,1.6936,64.2,65.4,60.8,69.874,False,False,5.296,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-06,8054,2023-12-07,in_sample,6811.0,3.3113,3726.59,1.8118,101.0,103.0,95.3,104.86,False,False,5.6436,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-11,1591,2023-12-12,in_sample,299.5,0.9284,796.67,2.4696,63.9,65.8,59.4,64.484,True,False,-0.9139,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-11,5426,2023-12-12,in_sample,1063.81,2.4288,1022.01,2.3333,21.8,22.95,22.95,22.491,True,False,-3.1697,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-11,5521,2023-12-12,in_sample,1960.11,3.9494,685.125,1.3804,13.25,14.1,13.5,14.063,True,False,-6.1358,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-11,8112,2023-12-12,in_sample,3394.51,0.8555,2786.64,0.7023,70.0,71.5,68.9,73.598,False,False,1.5714,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-13,2365,2023-12-14,in_sample,2389.5,7.1183,697.675,2.0784,15.45,15.7,14.65,15.876,False,False,5.178,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-13,3390,2023-12-14,in_sample,1442.11,5.604,1210.91,4.7056,31.0,31.75,29.05,31.115,True,False,-0.371,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-15,2031,2023-12-18,in_sample,2707.2,2.91,1398.72,1.5035,58.0,58.5,58.0,60.76,False,False,0.0,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-19,1325,2023-12-20,in_sample,678.11,3.6588,796.575,4.298,44.5,44.9,44.9,44.002,True,False,1.1191,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-19,1732,2023-12-20,in_sample,1088.19,4.5525,1235.85,5.1702,34.5,35.3,35.3,34.594,True,False,-0.2725,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-20,1325,2023-12-21,in_sample,1477.21,7.9066,1535.58,8.219,48.85,49.35,40.85,48.363,True,False,0.9969,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-20,1732,2023-12-21,in_sample,1514.37,2.6386,480.08,0.8365,36.45,38.4,33.1,38.024,True,False,-4.3182,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-22,2421,2023-12-25,in_sample,2459.2,0.6577,9614.2,2.5713,110.0,111.0,105.0,114.17,False,False,4.5455,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-22,6117,2023-12-25,in_sample,3041.98,2.9353,3542.46,3.4182,81.0,84.2,77.5,84.28,False,False,4.321,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-22,8088,2023-12-25,in_sample,1443.295,2.6853,1817.305,3.3812,49.9,51.0,45.0,51.646,False,False,9.8196,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-26,1733,2023-12-27,in_sample,1407.45,4.0815,1509.81,4.3783,44.1,44.45,39.3,45.962,False,False,10.8844,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-27,3376,2023-12-28,in_sample,1415.1,0.7995,1642.05,0.9277,137.0,139.5,129.0,143.57,False,False,5.8394,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2023-12-28,1503,2023-12-29,in_sample,3526.55,1.6148,2484.9,1.1378,127.0,128.0,118.5,135.24,False,False,6.6929,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-02,3390,2024-01-03,in_sample,1049.75,2.0945,1227.4,2.449,32.6,35.5,31.95,34.79,True,False,-6.7178,False,False
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-02,5223,2024-01-03,in_sample,516.45,5.276,610.35,6.2353,47.5,49.45,47.0,50.568,False,False,1.0526,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-02,6108,2024-01-03,in_sample,646.25,4.037,705.0,4.4041,23.4,24.0,22.9,25.333,False,False,2.1368,False,True
統一-城中 x 凱基-城中(城中GA本尊),統一-城中,凱基-城中(城中GA本尊),2024-01-02,6113,2024-01-03,in_sample,1100.295,3.1153,1433.25,4.0579,23.5,24.25,24.25,23.765,True,False,-1.1277,False,False
