event_id,ticker,ex_date,shares,sub_price,ref_price,price_30d_pre,ret_-20d,abn_-20d,ret_-10d,abn_-10d,ret_-5d,abn_-5d,ret_-1d,abn_-1d,ret_+1d,abn_+1d,ret_+5d,abn_+5d,ret_+10d,abn_+10d,ret_+20d,abn_+20d,ret_+30d,abn_+30d,ret_+60d,abn_+60d,discount_pct
3325_2012-11-26,3325,2012-11-26,10000000.0,11.4,14.45,17.6,0.0795847750865053,0.11246678669192123,0.0692041522491349,0.08467804006344837,0.01730103806228378,0.045347459725726735,0.0,0.0,-0.0034602076124566894,-0.016999859449980836,0.0692041522491349,0.03438790466692998,0.006920415224913601,-0.03176430431086974,0.0034602076124568004,-0.020717742097407843,0.02768166089965396,-0.014871530589707582,0.10726643598615926,0.0395681767985383,-0.2110726643598615
3615_2012-12-07,3615,2012-12-07,10000000.0,45.0,60.0,51.5,-0.1166666666666667,-0.07002487562189053,-0.17083333333333328,-0.13538557213930347,-0.12,-0.11906716417910435,0.0,0.0,-0.0016666666666667052,-0.003532338308457783,0.011666666666666714,0.0004726368159204686,0.05166666666666675,0.06659203980099515,0.043333333333333446,0.03120646766169166,-0.033333333333333326,-0.03893034825870634,0.03499999999999992,-0.003246268656716511,-0.25
1569_2013-01-22,1569,2013-01-22,5000000.0,30.0,33.25,37.7,0.08571428571428585,0.10333951762523197,0.1669172932330827,0.1669172932330827,0.05263157894736836,0.05077629137779516,0.0,0.0,0.0,-0.0018552875695732052,0.013533834586466176,0.0024021091690265006,0.02706766917293235,0.006659505907626206,0.14586466165413547,0.1217459232496827,0.24812030075187974,0.21658041206913392,-0.028571428571428692,-0.06382189239332114,-0.09774436090225569
8240_2013-01-31,8240,2013-01-31,15000000.0,40.0,45.3,43.9,0.017660044150110465,0.013081289571355903,-0.037527593818984406,-0.01371807000946057,-0.007726269315673218,0.008757247167843207,0.0,0.0,-0.028697571743929284,-0.032360575406932934,-0.034216335540838805,-0.052531353855857055,-0.028697571743929284,-0.050675593721951184,-0.014348785871964642,-0.03815830968148837,-0.08167770419426035,-0.08076195327850932,-0.07615894039735094,-0.14209300633141686,-0.11699779249448117
4129_2013-02-04,4129,2013-02-04,7000000.0,30.0,39.3,38.55,0.0661577608142494,0.07619425716461437,-0.012722646310432517,0.0037007113538010117,0.0,0.019160583941605802,0.0,0.0,-0.015267175572518887,-0.0189168106090154,0.01781170483460559,-0.005910922902620852,-0.007633587786259444,-0.01310804034100399,-0.01781170483460548,-0.03332265373971499,-0.03307888040712459,-0.031254062888876555,-0.03307888040712459,-0.0869109971954457,-0.23664122137404575
3452_2013-02-05,3452,2013-02-05,300000000.0,9.4,14.4,12.45,0.00694444444444442,0.030495169082125684,-0.04166666666666663,-0.02083333333333315,-0.03819444444444453,-0.02551328502415462,0.0,0.0,-0.16319444444444442,-0.16681763285024154,-0.17361111111111116,-0.18266908212560384,-0.22916666666666674,-0.22916666666666674,-0.1527777777777779,-0.16002415458937214,-0.25,-0.2382246376811593,-0.15972222222222232,-0.20863526570048307,-0.3472222222222222
1815_2013-02-22,1815,2013-02-22,25000000.0,12.0,14.0,13.5,-0.0035714285714286698,0.0323352141574762,-0.017857142857142905,0.0018915106437548124,-0.021428571428571463,-0.016042575019235672,0.0,0.0,0.0,-0.0017953321364452268,-0.0035714285714286698,0.0018145678379071217,-0.0071428571428571175,-0.008938189279302344,-0.06428571428571428,-0.03645806617081293,-0.11071428571428577,-0.0748076429853809,-0.0535714285714286,-0.09935239805078222,-0.1428571428571429
3431_2013-03-01,3431,2013-03-01,12500000.0,8.0,8.95,9.89,0.006703910614525244,0.02844304104930795,0.02681564245810053,0.023192454052303413,0.012290502793296243,0.006855720184600678,0.0,0.0,0.06368715083798882,0.07183932475103239,0.01452513966480451,0.003655574447413379,0.00893854748603351,0.00893854748603351,-0.0011173184357541333,0.0006942757671444255,0.1173184357541901,0.1390575661889728,0.13966480446927365,0.09528074649825924,-0.10614525139664799
1752_2013-03-05,1752,2013-03-05,9000000.0,36.0,40.6,43.0,-0.014778325123152691,0.008052725105157865,-0.0024630541871921707,-0.018901410351575665,0.019704433497536922,0.0023528353240209743,0.0,0.0,-0.02216748768472898,-0.034952875812582884,-0.019704433497537033,-0.03431630564365562,-0.046798029556650245,-0.044058303529252996,-0.0714285714285714,-0.0732550554468363,-0.10098522167487689,-0.0845468655104934,-0.16871921182266014,-0.20890186022448676,-0.11330049261083752
3552_2013-03-06,3552,2013-03-06,1540000.0,58.0,68.9,69.0,-0.014513788098693747,0.0117543278433353,-0.027576197387518264,-0.04388054521360518,-0.0014513788098694524,0.0003602153930291063,0.0,0.0,0.03483309143686486,0.031209903031067743,0.09143686502177073,0.08328469110872727,0.08272859216255424,0.09993873709009049,0.014513788098693858,0.018136976504490976,-0.04208998548621201,-0.04661897099345835,0.023222060957909907,-0.003951852085568364,-0.158200290275762
