event_id,ticker,name,market,ann_date,exr_date,shares,sub_price,sub_ratio,gap_days,ref_price,discount_pct,ret_-20d,abn_-20d,ret_-10d,abn_-10d,ret_-9d,abn_-9d,ret_-8d,abn_-8d,ret_-7d,abn_-7d,ret_-6d,abn_-6d,ret_-5d,abn_-5d,ret_-4d,abn_-4d,ret_-3d,abn_-3d,ret_-2d,abn_-2d,ret_-1d,abn_-1d,ret_+0d,abn_+0d,ret_+1d,abn_+1d,ret_+2d,abn_+2d,ret_+3d,abn_+3d,ret_+4d,abn_+4d,ret_+5d,abn_+5d,ret_+6d,abn_+6d,ret_+7d,abn_+7d,ret_+8d,abn_+8d,ret_+9d,abn_+9d,ret_+10d,abn_+10d,ret_+20d,abn_+20d,ret_+30d,abn_+30d,ret_+60d,abn_+60d
3406_2011-03-10,3406,玉晶光,sii,2011-03-10,2011-03-17,10000000.0,235.0,10.22076,7,334.0,-0.29640718562874246,-0.09580838323353291,-0.1257087154594464,-0.12125748502994016,-0.10132393021266439,-0.1107784431137725,-0.09084488829649673,-0.04940119760479045,-0.03777329062804624,0.01646706586826352,0.020619889788529355,-0.008982035928143728,0.003476435832653668,0.05988023952095811,0.05988023952095811,0.017964071856287456,0.010488988799809196,0.014970059880239583,0.014970059880239583,-0.03293413173652693,-0.03376469652058012,0.0,0.0,0.0059880239520957446,0.01761593092883995,-0.0239520958083832,-0.0015268466389479762,-0.0913173652694611,-0.06806155131597269,-0.1541916167664671,-0.10934111842759664,-0.12574850299401197,-0.07757574551892887,-0.20359281437125754,-0.15542005689617444,-0.2380239520958084,-0.19732627767720368,-0.18562874251497008,-0.15074502158473746,-0.1422155688622755,-0.11231523663636178,-0.1467065868263473,-0.11846738416853997,-0.16766467065868262,-0.14357829192114102,-0.06586826347305386,-0.0808184295860106,-0.15269461077844315,-0.173458730379772,-0.1107784431137725,-0.14067877533968598
2823_2011-04-14,2823,中壽,sii,2011-04-14,2011-04-22,300000000.0,25.0,13.168584393,8,29.45,-0.15110356536502545,-0.06621392190152797,-0.018200676868415422,-0.006791171477079749,0.012248563622258013,0.00679117147707986,0.0200362045896626,0.008488964346349714,0.022561812028468964,0.005093378607810006,0.014199338872710632,0.03395585738539908,0.02153863884235263,0.035653650254668934,0.020752988003013284,0.03395585738539908,0.02236645341188903,0.025466893039049143,0.013877489065539095,0.0016977928692700761,0.0074924948560251,0.0,0.0,0.0016977928692700761,0.0025256074388064764,0.04074702886247872,0.053164247405525056,0.06281833616298815,0.0768911838451074,0.045840407470288724,0.06570795713916278,0.0933786078098473,0.09503423694892021,0.16977928692699495,0.14825610811904788,0.1918505942275044,0.17198304455863012,0.18336162988115468,0.1659775239208896,0.15449915110356538,0.14125411799098253,0.14770797962648552,0.11873446969271062,0.13752122241086595,0.10854771247709105,0.14601018675721567,0.11869230596251379,0.10016977928692694,0.09685852100878112,0.3531409168081494,0.36555813535119575
3455_2011-04-15,3455,由田,otc,2011-04-15,2011-04-21,8000000.0,50.0,12.23598239,6,69.0,-0.2753623188405797,0.021739130434782705,0.07227765570404543,-0.007246376811594235,0.005181129402158868,-0.005797101449275477,0.007458905178727937,0.011594202898550732,0.019879207041052838,0.007246376811594235,-0.006009629816408957,0.01739130434782621,0.0016497964770723073,0.004347826086956497,-0.008079680126796607,-0.007246376811594235,-0.01967388302534734,-0.010144927536231974,-0.0051739250507306656,-0.0028985507246377384,-0.003727051138887827,0.0,0.0,-0.013043478260869601,-0.001444472461366697,-0.08115942028985512,-0.06790341366185171,-0.10144927536231885,-0.08239376583456415,-0.06376811594202902,-0.06293961552777871,-0.08405797101449275,-0.10642748219924847,-0.08260869565217399,-0.10332120600842909,-0.08260869565217399,-0.1008357047656786,-0.08550724637681162,-0.09959175341906512,-0.07536231884057976,-0.10518833375358716,-0.09420289855072461,-0.12402891346373202,-0.14347826086956517,-0.17081877453982208,-0.050724637681159424,-0.06646614555191332,-0.06811594202898552,-0.07060144327173601,-0.13043478260869568,-0.10309426893843887
8390_2011-04-15,8390,金益鼎,otc,2011-04-15,2011-04-21,7353000.0,34.0,10.222010096,6,40.8,-0.16666666666666663,-0.05759803921568618,-0.007059513946423457,0.031862745098039325,0.04429025131179243,0.026960784313725616,0.04021679094172903,0.0171568627450982,0.025441866887600306,0.01348039215686292,0.0002243855288597274,0.019607843137255054,0.003866335266501153,0.01225490196078427,-0.0001726042529688332,0.01225490196078427,-0.0001726042529688332,0.004901960784313708,0.009872963269815016,0.0,-0.0008285004142500885,0.0,0.0,0.05759803921568629,0.0691970450151892,0.04166666666666674,0.054922673294670155,0.04534313725490202,0.06439864678265672,0.05759803921568629,0.0584265396299366,0.05392156862745101,0.03155205744269529,0.07352941176470584,0.052816901408450745,0.0625,0.04427299088649539,0.05882352941176494,0.04473902236951144,0.05392156862745101,0.024095553714443607,0.03676470588235303,0.006938690969345629,0.0490196078431373,0.021679094172880387,0.05147058823529416,0.035729080364540255,0.04166666666666674,0.03918116542391625,0.13235294117647078,0.1596934548467276
2367_2011-04-20,2367,燿華,sii,2011-04-20,2011-04-28,100000000.0,15.0,17.78775,8,17.15,-0.12536443148688037,-0.008746355685131157,0.009834725395949984,0.05247813411078739,0.019538944921598356,0.04664723032069973,0.011174257347726924,0.03498542274052485,0.0028908281459303353,0.014577259475218707,-0.01751733511937581,0.0,-0.014358108108108114,0.011661807580175099,-0.008608462690095076,0.03498542274052485,0.015559747064849194,0.011661807580175099,0.004060456228823783,0.011661807580175099,0.0057496454180130385,0.0,0.0,0.03790087463556868,0.019319793554487763,0.09037900874635563,0.0481492790166258,0.10787172011661816,0.0673311795760776,0.07580174927113714,0.03779499251438034,0.110787172011662,0.07700338822787822,0.1545189504373179,0.10468786935623697,0.11953352769679304,0.06970244661571212,0.12244897959183687,0.07515168229453972,0.14285714285714302,0.0930260617760621,0.13702623906705558,0.09310732014813672,0.19533527696793018,0.14381500669766,0.09329446064139946,0.06204446064139946,0.09037900874635563,0.04477090063824751,-0.03498542274052463,-0.03498542274052463
9946_2011-05-25,9946,三發地產,sii,2011-05-25,2011-05-31,60000000.0,13.0,48.0,6,16.9,-0.23076923076923073,0.07396449704142016,0.0615575491506013,0.08284023668639073,0.05637208118597736,0.06508875739644981,0.035312082458484495,0.050295857988165826,0.023827702487752456,0.06508875739644981,0.05102754978685531,0.047337278106508895,0.03410320035630221,0.03846153846153855,0.01943755169561623,0.03550295857988184,0.02557740026722688,0.03550295857988184,0.024750270407838837,0.01775147928994092,0.019405739008716782,0.0,0.0,0.00591715976331364,0.009225679200865367,0.06508875739644981,0.05847171852134636,0.10650887573964507,0.10402748616148139,0.08875739644970415,0.08793026659031633,-0.053254437869822424,-0.07889546351084797,-0.062130177514792884,-0.09356111217153407,-0.06804733727810641,-0.0920341032003561,-0.05917159763313595,-0.08812114271171323,-0.05917159763313595,-0.08812114271171323,-0.062130177514792884,-0.08777120315581843,-0.07988165680473358,-0.10552268244575913,-0.10059171597633132,-0.070815041038366,0.09467455621301779,0.09632881593179365,0.01183431952662728,0.13590379843481581
3615_2011-06-01,3615,安可,otc,2011-06-01,2011-06-08,6000000.0,112.0,12.154278300000001,7,147.5,-0.2406779661016949,-0.03050847457627115,-0.027282668124658183,-0.1457627118644068,-0.139311098961181,-0.10508474576271187,-0.08976216511755053,-0.1457627118644068,-0.13124658283214874,-0.12203389830508471,-0.09542099507927826,-0.11525423728813555,-0.09025423728813564,-0.05423728813559325,-0.026011481683980375,-0.06101694915254241,-0.04246856205576821,-0.027118644067796627,-0.004537998906506302,-0.0474576271186441,-0.023264078731547344,0.0,0.0,-0.01016949152542368,-0.015814652815746233,0.03728813559322042,0.038901038819026845,0.1084745762711865,0.10524876981957365,0.1322033898305084,0.12897758337889553,-0.037288135593220306,-0.037288135593220306,-0.016949152542372836,-0.016949152542372836,-0.06440677966101693,-0.04101968288682334,-0.0474576271186441,-0.011167304537998968,-0.04406779661016946,-0.023906506287588836,0.006779661016949046,0.0309732094040458,-0.016949152542372836,0.024986331328594957,-0.09830508474576272,-0.047498633132859513,-0.21016949152542375,-0.1601694915254237,-0.3972881355932203,-0.24164297430289772
1217_2011-06-09,1217,愛之味,sii,2011-06-09,2011-06-16,50000000.0,12.0,8.93476878,7,12.95,-0.07335907335907332,0.11969111969111967,0.11888466807821652,0.0038610038610038533,0.03208681031261673,-0.007722007722007707,0.010826379374766493,-0.02316602316602312,-0.000585378004732795,0.0,0.024193548387096753,0.027027027027027195,0.027027027027027195,0.027027027027027195,0.02138186573670464,0.007722007722007929,0.009334910947814357,0.019305019305019266,0.01607921285340641,0.0038610038610038533,0.0006351974093909973,0.0,0.0,-0.007722007722007707,-0.007722007722007707,-0.0038610038610037423,0.019526092913189852,-0.02316602316602312,0.01312429941462201,-0.02316602316602312,-0.0030047328434424925,-0.019305019305019266,0.004888529082077486,-0.038610038610038644,0.0033254452609291496,-0.038610038610038644,0.0065512517125420056,-0.038610038610038644,0.016228671067380684,-0.042471042471042386,0.005109602690247961,-0.038610038610038644,0.0065512517125420056,-0.007722007722007707,0.04631025034250846,0.0038610038610038533,0.030473907086810303,0.050193050193050315,0.07277369535434064,-0.11969111969111956,-0.009207248723377637
3305_2011-06-14,3305,昇貿,sii,2011-06-14,2011-06-21,7500000.0,42.5,5.336,7,51.1,-0.16829745596868884,-0.017612524461839474,-0.04355394705598159,-0.03424657534246578,-0.04679887659769599,-0.023483365949119483,-0.0611402697148099,-0.007827788649706457,-0.05134243300117092,-0.015655577299413026,-0.0516388408977394,-0.009784735812133127,-0.05078891991255163,0.011741682974559797,-0.02926250112585871,0.019569471624266255,-0.018087432141424165,0.013698630136986134,-0.023958273628704285,-0.00391389432485334,-0.017303015663765464,0.0,0.0,0.0,-0.01673640167364021,-0.007827788649706457,-0.02038008990493667,-0.019569471624266144,-0.013711731038492103,-0.023483365949119483,-0.014278345028617467,-0.044031311154598796,-0.02478444922991263,-0.05870841487279843,-0.04699293370125024,-0.05675146771037176,-0.047546446789869745,-0.05675146771037176,-0.03834142586936751,-0.05675146771037176,-0.030810045116229534,-0.05675146771037176,-0.02411548444677336,-0.044031311154598796,-0.008884867639954441,0.013698630136986134,0.031271851894308256,0.05870841487279854,0.03444063244602025,-0.1761252446183953,-0.05562315256818606
6269_2011-06-16,6269,台郡,sii,2011-06-16,2011-06-23,11100000.0,60.0,5.81319767,7,73.5,-0.18367346938775508,-0.14421768707482996,-0.16239950525664826,-0.006802721088435382,-0.03738123348512956,-0.014965986394557707,-0.03810648226232627,-0.014965986394557707,-0.043065159948276754,0.01632653061224487,-0.011772642941474176,0.01224489795918382,-0.012548490470568163,0.013605442176870763,-0.01118794625288122,0.01224489795918382,0.01141845167819211,-0.017687074829931926,-0.005290380615055934,0.005442176870748439,0.0013099454657896636,0.0,0.0,-0.0680272108843537,-0.04984539270253552,-0.058503401360544216,-0.037015798054759186,-0.08163265306122447,-0.05022769438353858,-0.07619047619047614,-0.05222353404171576,-0.05442176870748294,-0.03293416540169791,-0.0653061224489796,-0.03472761005228531,-0.07482993197278909,-0.03681340304716929,-0.09795918367346945,-0.05333108449991564,-0.08299319727891152,-0.03588575926238258,-0.048979591836734615,-0.018401079440040324,-0.03129251700680269,-0.004019789734075463,-0.023129251700680364,0.0033170292910551513,0.2952380952380953,0.2894529712711531,0.16598639455782327,0.27838308877269924
6271_2011-06-17,6271,同欣電,sii,2011-06-17,2011-06-24,20000000.0,105.0,10.577,7,123.5,-0.1497975708502024,-0.05668016194331982,-0.0844579397210975,0.020242914979757165,-0.02184462710778501,0.04858299595141702,0.001444948813369873,0.06072874493927127,0.013590697801224128,0.044534412955465674,0.0007633691844217694,0.028340080971659853,-0.015430962799384051,0.036437246963562764,0.01707697760329352,0.05263157894736836,0.046739323055112525,0.06072874493927127,0.038001472211998566,0.036437246963562764,0.017918728445044163,0.0,0.0,-0.028340080971659964,-0.024973077604656724,-0.06882591093117407,-0.055357897463160666,-0.036437246963562764,-0.030544991071306815,0.028340080971659853,0.031707084338663094,0.036437246963562764,0.049063509589825416,0.04858299595141702,0.06878501615343713,0.0161943319838056,0.04313035891983252,0.004048582995951344,0.033509862457230755,-0.0080971659919028,0.004529096634359853,0.02429149797570851,0.0335507572349677,0.044534412955465674,0.03948390790496048,-0.020242914979757054,-0.016875911612753813,-0.04453441295546556,-0.052951921372974,-0.4089068825910931,-0.32052304420725475
1457_2011-06-21,1457,宜進,sii,2011-06-21,2011-06-28,50000000.0,9.0,13.6288,7,9.9,-0.09090909090909094,0.008080808080808133,-0.021782673147860754,0.015151515151515138,-0.046281931947461,0.010101010101010166,-0.04791946771468947,0.015151515151515138,-0.042868962664184496,0.02020202020202011,-0.013074430309925278,0.010101010101010166,-0.009523563277829439,0.010101010101010166,-0.026588409694211723,0.010101010101010166,-0.02232219809011604,0.002020202020202033,-0.01163167511290375,-0.01717171717171717,-0.027410625021546453,0.0,0.0,-0.024242424242424288,-0.03192160512979625,-0.024242424242424288,-0.03448133209225357,-0.04040404040404044,-0.0412572827248594,-0.03232323232323231,-0.025497293756679418,-0.030303030303030387,-0.016651153169924493,-0.03838383838383841,-0.022172234288275194,-0.03838383838383841,-0.03923708070465737,-0.04343434343434338,-0.04770055503843884,-0.033333333333333326,-0.05210466439135375,-0.011111111111111183,-0.03585513841486543,-0.010101010101010055,-0.03313855276312616,-0.033333333333333326,-0.03845278725824797,0.05050505050505061,0.034293446409487505,-0.16565656565656572,-0.046202640741889955
6175_2011-06-21,6175,立敦,otc,2011-06-21,2011-06-27,14400000.0,27.0,12.297325,6,29.55,-0.08629441624365486,0.12013536379018608,0.09027188256151719,0.11505922165820648,0.053625774559230344,0.12351945854483937,0.06549898072913973,0.09306260575296088,0.03504212793726125,0.08967851099830804,0.05640206048636265,0.08629441624365475,0.06666984286481514,0.0744500846023688,0.037760664807146904,0.07783417935702208,0.045410971165895875,0.021996615905245376,0.008344738772139593,0.021996615905245376,0.011757708055416094,0.0,0.0,-0.010152284263959421,-0.017831465151331383,-0.006768189509306244,-0.017007097359135526,-0.021996615905245376,-0.022849858226064335,0.02030456852791862,0.027130507094471512,0.006768189509306133,0.020420066642412027,0.01861252115059231,0.034824125246155524,0.015228426395939021,0.014375184075120062,0.0,-0.00426621160409546,0.01861252115059231,-0.00015880990742811463,0.0033840947546530664,-0.02135993254910118,-0.008460236886632777,-0.03149777954874888,0.05414551607444995,0.04902606214953531,0.1624365482233503,0.1462249441277872,-0.0693739424703892,0.050079982444286575
6197_2011-06-23,6197,佳必琪,sii,2011-06-23,2011-06-30,11200000.0,45.0,5.522415481,7,49.2,-0.08536585365853666,0.05487804878048763,0.03714156229400123,0.1077235772357723,0.06042627993847516,0.08943089430894302,0.06662684025488907,0.06707317073170715,0.057782630191166584,0.07520325203252032,0.04902081960008786,0.07520325203252032,0.05324379257306089,0.04268292682926811,0.03930454845088982,0.04065040650406493,0.04065040650406493,-0.026422764227642337,-0.01628762909250714,-0.0335365853658538,-0.031002801582069917,0.0,0.0,-0.010162601626016232,-0.0008720610854756616,0.00203252032520318,0.018924412217095066,-0.019308943089430985,0.00433970555921781,-0.024390243902439046,0.0017921885299934104,-0.010162601626016232,-0.0008720610854756616,-0.021341463414634276,-0.015429301252472105,-0.021341463414634276,-0.02978740936058033,-0.021341463414634276,-0.03569957152274239,-0.04065040650406504,-0.0533193254229839,0.026422764227642226,0.0027741155789935412,0.06910569105691056,0.0496800153812349,0.07520325203252032,0.05155460338387163,-0.011178861788617933,0.011625192265436124,-0.23780487804878048,-0.1516562294001318
