code,name,lock_start,lock_end,lock_days,d1,entry_day,entry_open,entry_o,entry_h,entry_l,entry_c,base_ret,tp2_ret,tp2_hit,censored,entry_is_ceiling,citycenter_overlap,cum_net_buy_ntd,flip_ratio,year
4958,臻鼎-KY,2026-04-17,2026-04-20,2,2026-04-21,2026-04-21,323.5,323.5,325.5,303.5,315.0,2.627511591962906,2.0000000000000084,True,False,False,True,307372000.0,2.276118189034785,2026
4979,華星光,2026-04-15,2026-04-20,4,2026-04-21,2026-04-21,708.0,708.0,708.0,651.0,655.0,7.4858757062146895,1.9999999999999956,True,False,False,False,149481000.0,1.2006208146854784,2026
5439,高技,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,453.0,453.0,463.5,426.5,438.5,3.200883002207505,2.0000000000000004,True,False,False,False,57395000.0,1.31408659290879,2026
6147,頎邦,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,133.0,133.0,139.0,130.0,135.5,-1.8796992481203008,1.9999999999999973,True,False,False,False,64135500.0,0.0,2026
6191,精成科,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,116.0,116.0,116.0,109.0,113.5,2.155172413793104,2.000000000000006,True,False,False,False,445634000.0,0.4133672475619006,2026
6217,中探針,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,281.5,281.5,288.0,268.0,283.0,-0.5328596802841918,1.9999999999999982,True,False,False,False,216276000.0,0.6372459265013224,2026
6442,光聖,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,2405.0,2405.0,2460.0,2240.0,2340.0,2.702702702702702,1.9999999999999962,True,False,False,False,616200000.0,0.0759493670886076,2026
6568,宏觀,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,257.0,257.0,266.0,240.5,257.0,0.0,2.0000000000000058,True,False,False,False,72517500.0,1.0383838383838384,2026
6584,南俊國際,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,758.0,758.0,806.0,755.0,787.0,-3.825857519788918,-3.825857519788918,False,False,False,False,60106000.0,0.0,2026
6643,M31,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,565.0,565.0,588.0,556.0,578.0,-2.3008849557522124,-2.3008849557522124,False,False,False,False,42812000.0,0.972063907315706,2026
6693,廣閎科,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,163.5,163.5,165.0,147.0,155.0,5.198776758409786,2.000000000000006,True,False,False,False,68512500.0,0.9728151797117316,2026
6937,天虹,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,357.5,357.5,358.5,327.0,331.0,7.412587412587412,2.0000000000000093,True,False,False,False,171278500.0,0.3729773439164869,2026
8046,南電,2026-04-20,2026-04-20,1,2026-04-21,2026-04-21,812.0,812.0,820.0,780.0,789.0,2.832512315270936,2.000000000000001,True,False,False,False,639188000.0,0.0654220667471855,2026
8358,金居,2026-04-17,2026-04-20,2,2026-04-21,2026-04-21,404.0,404.0,416.0,385.0,393.5,2.599009900990099,1.9999999999999962,True,False,False,True,1146976500.0,0.6765456833684038,2026
2399,映泰,2026-04-21,2026-04-21,1,2026-04-22,2026-04-22,45.0,45.0,45.5,40.1,40.2,10.66666666666666,1.999999999999997,True,False,False,False,194983600.0,0.582845941915115,2026
2436,偉詮電,2026-04-21,2026-04-21,1,2026-04-22,2026-04-22,77.1,77.1,82.0,74.5,78.3,-1.5564202334630388,2.000000000000002,True,False,False,True,175283400.0,1.0041932093968966,2026
3189,景碩,2026-04-20,2026-04-21,2,2026-04-22,2026-04-22,496.0,496.0,509.0,484.5,491.5,0.9072580645161292,2.000000000000003,True,False,False,False,1368053000.0,0.7584183507510308,2026
3221,台嘉碩,2026-04-20,2026-04-21,2,2026-04-22,2026-04-22,53.6,53.6,53.7,50.0,50.4,5.970149253731349,2.000000000000005,True,False,False,False,97507200.0,0.9655410062026188,2026
3260,威剛,2026-04-21,2026-04-21,1,2026-04-22,2026-04-22,403.0,403.0,422.5,386.5,421.5,-4.590570719602978,2.000000000000001,True,False,False,False,702004000.0,0.9858960917601608,2026
3376,新日興,2026-04-21,2026-04-21,1,2026-04-22,2026-04-22,225.5,225.5,227.5,218.0,222.5,1.3303769401330376,1.9999999999999958,True,False,False,False,40768000.0,0.0,2026
3661,世芯-KY,2026-04-21,2026-04-21,1,2026-04-22,2026-04-22,4100.0,4100.0,4120.0,4010.0,4065.0,0.853658536585366,2.0,True,False,False,False,557900000.0,1.1147965585230328,2026
5289,宜鼎,2026-04-21,2026-04-21,1,2026-04-22,2026-04-22,1110.0,1110.0,1185.0,1075.0,1165.0,-4.954954954954955,2.000000000000004,True,False,False,False,278880000.0,0.7143395008605852,2026
5498,凱崴,2026-04-20,2026-04-21,2,2026-04-22,2026-04-22,86.7,86.7,87.2,79.0,80.3,7.381776239907733,1.9999999999999938,True,False,False,False,109355099.99999994,1.2696133970889336,2026
6153,嘉聯益,2026-04-21,2026-04-21,1,2026-04-22,2026-04-22,21.6,21.6,21.8,19.55,19.7,8.796296296296306,2.0000000000000098,True,False,False,False,80431750.0,0.9530154447714988,2026
6182,合晶,2026-04-20,2026-04-21,2,2026-04-22,2026-04-22,44.05,44.05,45.0,42.5,45.0,-2.1566401816118117,2.000000000000001,True,False,False,False,40352250.0,0.8051595635931081,2026
