急拉幅度,進場回落,停損距離,量能倍率,信號窗口,樣本數,勝率,均報酬,PF,停損率
>=7%,2.0%,0.5%,2.0,30,6693,0.6458987001344688,0.016512471923836952,3.49302603890151,0.05468399820708202
>=7%,2.0%,0.5%,2.0,45,7985,0.6385723231058235,0.015202341317172158,3.2975395036403676,0.0593613024420789
>=7%,2.0%,0.5%,2.0,60,8919,0.6316851664984864,0.014122542657178085,3.1259258610530325,0.06144186568000897
>=7%,2.0%,0.5%,2.0,90,10335,0.6095791001451378,0.012269149305997916,2.801272639419966,0.07005321722302854
>=7%,2.0%,0.5%,2.0,120,11490,0.5921671018276763,0.010892149129801387,2.5631458493127144,0.07911227154046997
>=7%,2.0%,1.0%,1.0,15,5536,0.6638367052023122,0.01911933469928211,3.9527695721405167,0.028179190751445087
>=7%,2.0%,1.0%,1.0,20,6500,0.6607692307692308,0.018183991518441796,3.812272297242545,0.03230769230769231
>=7%,2.0%,1.0%,1.0,30,8041,0.6570078348464121,0.016986464269579657,3.6385915796422847,0.03581644074120134
>=7%,2.0%,1.0%,1.0,45,9812,0.6481858948226661,0.015455371907869572,3.4128706451466213,0.038320423970648186
>=7%,2.0%,1.0%,1.0,60,11189,0.6397354544642059,0.014230943503797956,3.2018959680359664,0.040843685762802756
>=7%,2.0%,1.0%,1.0,90,13430,0.6154132539091586,0.012144948169497785,2.821451711512298,0.04616530156366344
>=7%,2.0%,1.0%,1.0,120,15243,0.5956176605655055,0.010605627810212648,2.553192759272085,0.051564652627435544
>=7%,2.0%,1.0%,1.5,15,5131,0.6583511985967647,0.018812766051090526,3.8488666424785305,0.028844279867472226
>=7%,2.0%,1.0%,1.5,20,6032,0.6586538461538461,0.018109412967918383,3.779622412447184,0.031996021220159154
>=7%,2.0%,1.0%,1.5,30,7374,0.6531055058312991,0.016887266134354602,3.5937961536591,0.0359370762137239
>=7%,2.0%,1.0%,1.5,45,8928,0.6449372759856631,0.015444406774299665,3.377347402976221,0.03763440860215054
>=7%,2.0%,1.0%,1.5,60,10115,0.6368759268413248,0.014194262148638287,3.1669331115038037,0.04003954522985665
