event_id,ticker,ex_date,shares,sub_price,ref_price,discount_pct,ret_-20d,ret_-10d,ret_-9d,ret_-8d,ret_-7d,ret_-6d,ret_-5d,ret_-4d,ret_-3d,ret_-2d,ret_-1d,ret_+0d,ret_+1d,ret_+2d,ret_+3d,ret_+4d,ret_+5d,ret_+6d,ret_+7d,ret_+8d,ret_+9d,ret_+10d,ret_+20d,ret_+30d,ret_+60d,year
3680_2020-12-09,3680,2020-12-09,7600000.0,236.0,292.5,-0.19316239316239314,-0.052991452991453025,-0.03076923076923077,-0.013675213675213627,-0.018803418803418848,0.0,-0.013675213675213627,-0.018803418803418848,-0.017094017094017144,-0.032478632478632474,-0.03931623931623929,0.0,-0.00512820512820511,-0.029059829059829068,-0.06837606837606836,-0.06666666666666665,-0.08034188034188039,-0.07008547008547006,-0.07692307692307687,-0.0888888888888889,-0.10940170940170946,-0.1333333333333333,-0.09743589743589742,-0.022222222222222254,0.15726495726495737,0.10940170940170946,2020
5536_2020-12-14,5536,2020-12-14,3000000.0,166.0,193.5,-0.1421188630490956,-0.0051679586563307955,0.0,-0.0025839793281653423,-0.0051679586563307955,0.0,0.0025839793281654533,-0.0025839793281653423,0.0,0.0051679586563306845,0.0051679586563306845,0.0,-0.0025839793281653423,-0.015503875968992276,-0.015503875968992276,-0.023255813953488413,-0.025839793281653756,-0.02067183462532296,-0.028423772609819098,-0.03100775193798455,-0.03100775193798455,-0.028423772609819098,-0.018087855297157618,-0.015503875968992276,-0.02067183462532296,0.04909560723514206,2020
3666_2020-12-15,3666,2020-12-15,10000000.0,70.0,82.3,-0.14945321992709593,-0.4781287970838396,-0.048602673147023046,0.04617253948967193,-0.03766707168894279,0.012150668286755817,0.008505467800729027,0.03888213851761857,0.03645200486026723,0.0,-0.04009720534629402,0.0,0.048602673147023046,0.07411907654921035,0.06925880923450789,0.0,-0.013365735115431265,-0.0972053462940462,-0.054678007290400954,-0.04009720534629402,-0.05953827460510319,-0.09477521263669497,-0.08869987849331706,-0.16160388821385174,-0.284325637910085,-0.18347509113001204,2020
2718_2020-12-17,2718,2020-12-17,30000000.0,17.0,24.0,-0.29166666666666663,-0.07291666666666663,-0.06666666666666676,-0.04583333333333339,-0.04166666666666663,-0.04166666666666663,-0.033333333333333326,-0.02083333333333337,-0.02083333333333337,-0.008333333333333304,-0.008333333333333304,0.0,-0.0625,-0.05833333333333324,-0.05833333333333324,-0.05833333333333324,-0.05833333333333324,-0.08333333333333337,-0.08333333333333337,-0.08333333333333337,-0.08124999999999993,-0.07500000000000007,-0.07500000000000007,-0.08333333333333337,-0.11249999999999993,0.6624999999999999,2020
5011_2020-12-29,5011,2020-12-29,20000000.0,32.5,39.8,-0.18341708542713564,-0.23492462311557782,-0.02386934673366825,-0.021356783919597833,-0.005025125628140614,0.06783919597989962,0.035175879396984966,-0.02010050251256279,-0.006281407035175879,0.005025125628140836,0.005025125628140836,0.0,-0.03768844221105527,-0.015075376884421954,-0.015075376884421954,0.005025125628140836,0.09296482412060314,0.1306532663316584,0.022613065326633208,-0.007537688442211032,-0.002512562814070196,-0.04396984924623115,-0.03894472361809043,-0.10678391959798994,-0.07035175879396982,-0.20603015075376874,2020
1785_2021-01-05,1785,2021-01-05,93500000.0,36.0,45.2,-0.20353982300884965,0.05088495575221241,-0.006637168141592986,-0.03207964601769919,-0.02986725663716816,-0.004424778761062065,-0.007743362831858391,-0.015486725663716894,-0.01880530973451333,-0.03761061946902666,-0.03761061946902666,0.0,-0.006637168141592986,-0.01880530973451333,0.07853982300884943,0.06415929203539816,0.0763274336283184,0.023230088495575174,0.11504424778761058,0.1084070796460177,0.08738938053097334,0.09623893805309724,0.10619469026548667,-0.04424778761061943,0.055309734513274256,0.23893805309734506,2021
4726_2021-01-12,4726,2021-01-12,25000000.0,30.5,30.5,0.0,0.06557377049180335,0.0360655737704918,0.06557377049180335,0.06721311475409819,0.05573770491803298,0.0360655737704918,0.032786885245901676,0.032786885245901676,0.024590163934426146,0.013114754098360715,0.0,0.013114754098360715,0.0,-0.014754098360655665,-0.049180327868852514,-0.02786885245901649,-0.042622950819672156,-0.032786885245901676,-0.022950819672131084,-0.019672131147541072,0.031147540983606614,0.013114754098360715,0.06885245901639347,0.14754098360655732,0.5377049180327869,2021
5468_2021-01-27,5468,2021-01-27,8000000.0,10.0,13.6,-0.2647058823529411,0.14338235294117663,0.03308823529411775,-0.06985294117647056,-0.044117647058823484,-0.011029411764705954,-0.044117647058823484,-0.07720588235294112,-0.05514705882352944,-0.03676470588235292,0.018382352941176405,0.0,0.02205882352941191,0.007352941176470562,0.1066176470588236,0.21691176470588247,0.33823529411764697,0.4191176470588236,0.2904411764705883,0.16176470588235303,0.2757352941176472,0.26102941176470584,0.2279411764705883,0.8639705882352944,0.6176470588235294,0.2757352941176472,2021
8932_2021-03-31,8932,2021-03-31,11250000.0,18.0,18.0,0.0,-0.05833333333333335,-0.04444444444444451,-0.03333333333333344,-0.011111111111111072,0.008333333333333304,0.0,-0.011111111111111072,0.008333333333333304,0.011111111111111072,0.008333333333333304,0.0,0.04444444444444451,0.03888888888888875,0.005555555555555536,0.022222222222222143,0.016666666666666607,0.005555555555555536,0.008333333333333304,0.008333333333333304,0.019444444444444597,0.03055555555555567,0.08333333333333326,0.04444444444444451,-0.005555555555555647,0.04999999999999982,2021
8933_2021-04-06,8933,2021-04-06,50000000.0,10.2,13.0,-0.2153846153846154,-0.0692307692307692,-0.053846153846153766,-0.0461538461538461,-0.053846153846153766,-0.05769230769230771,-0.07307692307692304,-0.06153846153846154,-0.07307692307692304,-0.007692307692307665,0.011538461538461497,0.0,-0.023076923076923106,-0.038461538461538436,0.023076923076923217,0.12307692307692308,0.23461538461538467,0.2038461538461538,0.23076923076923084,0.23461538461538467,0.19999999999999996,0.17692307692307696,0.23076923076923084,0.0,-0.08846153846153848,-0.03076923076923077,2021
