signal_date,exit_date,stock_id,stock_name,entry_price,signal_day_ret_pct,signal_vol_ratio,signal_amount_wan,exit_open,exit_open_ret_pct,exit_close,exit_close_ret_pct,exit_vol_ratio,exit_vol_wan,ret_bps,ret_pct,net_ret_pct
2025-01-10,2025-01-13,6112,邁達特,57.0,5.75,3.6,46207.0,59.3,4.04,57.8,1.4,5.26,1.5,403.5,4.04,3.68
2025-01-13,2025-01-14,8927,北基,55.1,6.17,5.17,21283.0,57.0,3.45,55.5,0.73,3.65,0.3,344.8,3.45,3.09
2025-01-14,2025-01-15,3645,達邁,69.0,8.66,3.39,543079.0,70.1,1.59,65.9,-4.49,2.85,8.0,159.4,1.59,1.24
2025-01-14,2025-01-15,6547,高端疫苗,50.4,2.23,8.01,153699.0,49.85,-1.09,49.55,-1.69,3.02,1.4,-109.1,-1.09,-1.45
2025-01-17,2025-01-20,2472,立隆電,91.9,9.8,6.65,148722.0,92.5,0.65,95.7,4.13,8.69,3.7,65.3,0.65,0.3
2025-01-17,2025-01-20,9802,鈺齊-KY,130.0,9.24,4.5,96632.0,129.5,-0.38,130.0,0.0,2.71,0.5,-38.5,-0.38,-0.74
2025-01-20,2025-01-21,3605,宏致,53.8,8.8,5.24,34186.0,53.7,-0.19,57.0,5.95,7.29,1.3,-18.6,-0.19,-0.54
2025-01-20,2025-01-21,6841,長佳智能,84.4,7.65,3.21,12523.0,84.4,0.0,82.3,-2.49,3.26,0.2,0.0,0.0,-0.36
2025-01-21,2025-01-22,6613,朋億*,241.0,8.56,7.25,78045.0,245.0,1.66,260.0,7.88,6.42,0.4,166.0,1.66,1.3
2025-01-21,2025-01-22,8096,擎亞,39.2,8.14,7.14,50617.0,40.0,2.04,41.65,6.25,6.6,1.7,204.1,2.04,1.68
2025-01-22,2025-02-03,6768,志強-KY,136.0,9.68,3.62,51628.0,135.0,-0.74,133.0,-2.21,4.75,0.7,-73.5,-0.74,-1.09
2025-01-22,2025-02-03,6613,朋億*,260.0,7.88,6.42,107144.0,248.0,-4.62,245.5,-5.58,3.28,0.3,-461.5,-4.62,-4.97
2025-02-03,2025-02-04,2453,凌群,60.4,6.53,6.15,45161.0,63.0,4.3,64.4,6.62,9.43,2.1,430.5,4.3,3.95
