offset,cum_ret,mkt_ret,abnormal
16,-0.03630811964972919,0.007756228836805742,-0.04406434848653493
17,-0.0386948302884591,0.008507163038201952,-0.04720199332666105
18,-0.03936568453225442,0.007692701606113926,-0.04705838613836835
19,-0.039810162643788186,0.007827960571756089,-0.04763812321554428
20,-0.04087329457417236,0.008082973226823326,-0.04895626780099569
21,-0.04105608266949155,0.008702682690129615,-0.04975876535962117
22,-0.039565893730612804,0.0086861225158468,-0.048252016246459604
23,-0.03997396944822473,0.009112209538039371,-0.0490861789862641
24,-0.038666317616330104,0.010074424777098566,-0.04874074239342867
25,-0.037257382077625106,0.011059822995828892,-0.048317205073453995
26,-0.03731634957981218,0.011487110782877109,-0.04880346036268929
27,-0.03790074508538307,0.011774818379159346,-0.04967556346454242
28,-0.037340667741622036,0.013187438949601046,-0.050528106691223075
29,-0.03592017955952913,0.013715597749506033,-0.049635777309035164
30,-0.035648145203944735,0.013244330032590422,-0.048892475236535164
31,-0.036272562992230695,0.012766031254260556,-0.04903859424649125
32,-0.035882736376741615,0.013834493226010236,-0.04971722960275186
33,-0.03690560851446263,0.014133981238202961,-0.0510395897526656
34,-0.036784679796698576,0.01494845241118317,-0.051733132207881755
35,-0.035210815107991164,0.015183290444749307,-0.05039410555274047
36,-0.03385280264846072,0.014763440893355155,-0.04861624354181587
37,-0.03500694204174503,0.015339579020514811,-0.05034652106225984
38,-0.03508679794317961,0.015971068859479493,-0.05105786680265909
39,-0.03326608456687046,0.016230940355469913,-0.04949702492234037
40,-0.032097653593720535,0.016333030518061776,-0.048430684111782314
41,-0.0314833803815103,0.01790913486806477,-0.049392515249575074
42,-0.03174236547580747,0.018212202867858088,-0.049954568343665566
43,-0.0317121275291014,0.01805866058195231,-0.04977078811105372
44,-0.03083617087821377,0.018379064956142582,-0.04921523583435635
45,-0.03030851037751631,0.018825934523989712,-0.04913444490150603
46,-0.03102605062383875,0.019630072008212384,-0.05065612263205114
47,-0.031174821070329668,0.01955348058508558,-0.050728301655415246
48,-0.02955777380840843,0.020757221874611098,-0.050314995683019524
49,-0.03018114605490865,0.020871700696340107,-0.05105284675124876
50,-0.028881574313284388,0.021751415478004136,-0.05063298979128853
51,-0.028488791893018086,0.02241237867241415,-0.05090117056543224
52,-0.026813527961248092,0.02386494571594121,-0.0506784736771893
53,-0.025848436729734456,0.02445012177201624,-0.0502985585017507
54,-0.02442512624430559,0.025577281053717316,-0.05000240729802291
55,-0.025771154356911217,0.026213438150617493,-0.05198459250752871
56,-0.026963449681035926,0.02691437195356155,-0.05387782163459747
57,-0.026458013859501063,0.027412111811137858,-0.053870125670638924
