event_date,stock_id,公司簡稱,參與分點清單,參與分點數,ret_10d,ret_20d,ret_60d,excess_10d,excess_20d,excess_60d
2024-07-08,2308,台達電,港商野村|新加坡商瑞銀,2,-0.07089552,-0.05597015,-0.07338308,-0.03481674,0.03437351,-0.04838038
2024-07-18,3711,日月光投控,港商野村|新加坡商瑞銀,2,-0.26136364,-0.125,-0.07102273,-0.14324285,-0.07810965,-0.03426203
2024-08-06,2330,台積電,凱基-站前|國泰-板橋|港商野村|新加坡商瑞銀,4,0.10568182,0.06818182,0.19318182,0.01054421,-0.03642396,0.09757122
2024-08-07,2317,鴻海,凱基-站前|港商野村,2,0.07624633,0.05278592,0.25219941,0.02801672,0.02781827,0.20042173
2024-09-03,2330,台積電,凱基-站前|港商野村,2,0.00106383,0.0393617,0.12234043,0.01565846,0.03788201,0.13737596
2024-09-18,2382,廣達,凱基-站前|新加坡商瑞銀,2,0.048,0.236,0.1,0.0316876,0.21299353,0.12527821
2024-09-24,2603,長榮,港商野村|新加坡商瑞銀,2,-0.08823529,0.01715686,0.11764706,-0.08249914,0.00918596,0.15243747
2024-10-04,2330,台積電,凱基-站前|港商野村|新加坡商瑞銀,3,0.11054248,0.07471853,0.10030706,0.10395584,0.08432734,0.13468909
2024-10-08,3017,奇鋐,港商野村|新加坡商瑞銀,2,0.12274959,0.10474632,0.0212766,0.11636974,0.1054758,0.06683406
2024-10-09,2345,智邦,港商野村|新加坡商瑞銀,2,0.07142857,0.09774436,0.45488722,0.06401947,0.09607797,0.48348409
2024-10-09,2454,聯發科,港商野村|新加坡商瑞銀,2,0.02008032,0.02811245,0.14457831,0.01267122,0.02644606,0.17317518
2024-10-14,2317,鴻海,港商野村|新加坡商瑞銀,2,0.08040201,0.07537688,-0.05527638,0.07773415,0.08867124,-0.02315219
2024-11-04,3231,緯創,港商野村|新加坡商瑞銀,2,-0.02155172,-0.01724138,-0.10775862,0.00305991,-0.00693178,-0.09075018
2024-11-06,3661,世芯-KY,港商野村|新加坡商瑞銀,2,-0.03319502,-0.02697095,0.4439834,-0.01082082,-0.02502152,0.46041618
2024-11-07,2330,台積電,凱基-站前|新加坡商瑞銀,2,-0.05164319,0.00938967,0.04225352,-0.02415302,0.02125273,0.06704326
2024-11-11,3293,鈊象,港商野村|新加坡商瑞銀,2,-0.07203791,-0.01895735,-0.14028436,-0.06661754,-0.00968712,-0.13268883
2024-11-18,2603,長榮,港商野村|新加坡商瑞銀,2,-0.0155902,0.00668151,-0.04899777,-0.03025311,0.0162583,-0.09272843
2024-11-22,6669,緯穎,港商野村|新加坡商瑞銀,2,0.1314554,0.23943662,-0.04929577,0.12130915,0.26876345,-0.07692984
2024-11-25,2454,聯發科,凱基-站前|新加坡商瑞銀,2,0.03515625,0.1015625,0.18359375,0.03902709,0.12970372,0.17139969
2024-12-10,2345,智邦,凱基-信義|新加坡商瑞銀,2,0.0694051,0.0878187,-0.07507082,0.08831851,0.10618902,-0.0735816
2024-12-10,2383,台光電,凱基-站前|新加坡商瑞銀,2,0.07400722,0.08122744,0.05776173,0.09292063,0.09959776,0.05925096
2024-12-17,2330,台積電,凱基-站前|港商野村,2,0.0,-0.00930233,-0.09581395,-0.00682013,0.01734834,-0.11983996
2024-12-17,3661,世芯-KY,港商野村|新加坡商瑞銀,2,-0.01204819,-0.12048193,-0.16114458,-0.01886832,-0.09383126,-0.18517059
2025-01-16,2330,台積電,港商野村|新加坡商瑞銀,2,0.0,-0.02714932,-0.21809955,-0.03507459,-0.10025862,-0.11963779
2025-01-21,3017,奇鋐,港商野村|新加坡商瑞銀,2,0.00724638,-0.02717391,-0.13586957,-0.03252987,-0.08193603,-0.06813456
2025-01-22,6805,富世達,凱基-士林|新加坡商瑞銀,2,0.075,-0.075,-0.36319444,0.03966664,-0.11260945,-0.2834381
2025-02-03,2454,聯發科,港商野村|新加坡商瑞銀,2,0.03,0.00333333,-0.13333333,-0.0215424,-0.04739961,-0.07378914
2025-02-05,2379,瑞昱,凱基-站前|新加坡商瑞銀,2,-0.0229682,-0.01590106,-0.11749117,-0.06825364,-0.05344741,-0.03268507
2025-02-05,8069,元太,港商野村|新加坡商瑞銀,2,-0.01396161,0.06282723,-0.18499127,-0.05924705,0.02528088,-0.10018518
2025-02-11,2308,台達電,港商野村|新加坡商瑞銀,2,-0.02238806,-0.03606965,-0.07960199,-0.05269251,-0.04004993,-0.00154083
2025-02-24,2330,台積電,港商野村|新加坡商瑞銀,2,-0.09674419,-0.07906977,-0.08465116,-0.06337751,-0.04767876,0.01511863
2025-03-06,2027,大成鋼,凱基-站前|新加坡商瑞銀,2,0.04536489,-0.11932939,-0.29980276,0.05296877,0.02493645,-0.20274017
2025-03-11,3661,世芯-KY,凱基-信義|新加坡商瑞銀,2,-0.02568493,-0.26883562,-0.06678082,-0.0277288,-0.10391459,0.01326063
2025-03-17,2308,台達電,港商野村|新加坡商瑞銀,2,-0.08629442,-0.18654822,0.01015228,-0.02305845,-0.05247247,0.09495003
2025-04-08,2330,台積電,國泰-板橋|港商野村,2,0.0,0.1372549,0.33578431,-0.02308257,0.05051694,0.2145408
2025-04-09,2382,廣達,港商野村|新加坡商瑞銀,2,0.31652661,0.40896359,0.55742297,0.18894734,0.22947136,0.36827669
2025-05-02,2317,鴻海,凱基-站前|新加坡商瑞銀,2,0.07118644,0.03389831,0.19322034,0.04499692,0.03708821,0.17690435
