event_date,stock_id,broker,rolling_2y_buy_wan,ret_10d,excess_10d,ret_20d,excess_20d,ret_60d,excess_60d,company_name
2026-07-07,2449,凱基-站前,350423.08,-0.06940063,-0.02954011,-0.22082019,-0.16463885,,,京元電子
2025-02-07,2454,凱基-站前,243650.3,-0.00983607,-0.0445822,-0.0852459,-0.09620866,-0.15409836,-0.06313377,聯發科
2025-05-08,2454,凱基-站前,343337.3,0.02713178,0.00177441,-0.00775194,-0.02308294,0.04651163,0.02489645,聯發科
2025-08-01,2454,凱基-站前,395288.8,0.01481481,-0.01485977,0.01481481,-0.03425331,-0.02962963,-0.08202036,聯發科
2025-10-30,2454,凱基-站前,403971.6,-0.04961832,-0.0462815,0.02290076,0.03579143,0.35114504,0.2801891,聯發科
2026-01-26,2454,凱基-站前,416865.6,0.03389831,0.06128939,0.00282486,0.02035958,0.78248588,0.71687508,聯發科
2026-05-05,2454,凱基-站前,554327.6,0.0,0.00961288,0.43423138,0.3736552,0.02535658,0.09238013,聯發科
2026-07-30,2454,凱基-站前,899622.5,0.30602782,0.20561491,0.19474498,0.08744516,,,聯發科
2026-06-15,3008,凱基-站前,241274.0,-0.02941176,-0.03328117,-0.08597285,-0.07750681,,,大立光
2025-06-03,3017,凱基-站前,215405.05,0.14871017,0.13820516,0.14567527,0.13610662,0.55538695,0.49764825,奇鋐
2025-08-26,3017,凱基-站前,292502.95,-0.06243902,-0.07776866,-0.0097561,-0.02629852,0.21463415,0.23970671,奇鋐
2025-11-24,3017,凱基-站前,326184.95,0.1124498,0.07119794,0.18473896,0.13138572,0.41767068,0.2913,奇鋐
2026-03-02,3017,凱基-站前,325553.7,0.0368272,0.05653394,0.20963173,0.23695203,0.46175637,0.37573195,奇鋐
2026-05-28,3017,凱基-站前,428054.1,-0.09496124,-0.09516963,-0.12596899,-0.13692759,0.10658915,0.12242958,奇鋐
2026-08-24,3017,凱基-站前,701211.2,0.19789842,0.18276935,,,,,奇鋐
2026-08-28,3026,凱基-站前,212928.89,,,,,,,禾伸堂
2021-12-23,3037,凱基-站前,204813.695,-0.09375,-0.09174276,-0.1625,-0.13241657,0.03541667,0.04143017,欣興
2022-03-30,3037,凱基-站前,229825.545,-0.1750503,-0.15131813,-0.14285714,-0.09256468,-0.35211268,-0.27618547,欣興
2022-06-28,3037,凱基-站前,236585.27,-0.07763975,-0.00969752,0.05590062,0.07903291,-0.20807453,-0.20701251,欣興
2022-09-21,3037,凱基-站前,281834.95,-0.04705882,-0.00714889,-0.08627451,0.00638955,0.16862745,0.15487181,欣興
2022-12-15,3037,凱基-站前,283121.84,-0.18456376,-0.153172,-0.15436242,-0.13827186,-0.00671141,-0.09697248,欣興
2023-03-24,3037,凱基-站前,273916.2,-0.04054054,-0.06213452,-0.06081081,-0.05964836,0.21621622,0.14006199,欣興
2023-06-26,3037,凱基-站前,270401.2,-0.07222222,-0.07085443,0.10833333,0.11394745,0.04722222,0.06136211,欣興
2023-09-19,3037,凱基-站前,267950.95,-0.07692308,-0.06345363,-0.14588859,-0.11623467,-0.03448276,-0.09719523,欣興
2025-03-05,3037,凱基-站前,203252.9,-0.09913793,-0.0792345,-0.16896552,-0.10780102,-0.12068966,-0.01015711,欣興
2025-06-03,3037,凱基-站前,217973.1,-0.00490196,-0.01540697,0.09803922,0.08847057,0.39215686,0.33441816,欣興
2025-08-26,3037,凱基-站前,249727.3,-0.04929577,-0.06462541,0.11971831,0.10317589,0.15492958,0.18000214,欣興
2025-11-24,3037,凱基-站前,260705.05,0.3445122,0.30326033,0.3445122,0.29115896,1.93292683,1.80655615,欣興
2026-03-02,3037,凱基-站前,442884.55,0.14137214,0.16107888,0.02598753,0.05330782,1.13097713,1.04495271,欣興
2026-05-28,3037,凱基-站前,532874.45,-0.16682927,-0.16703766,-0.04878049,-0.05973908,0.04878049,0.06462093,欣興
2026-08-24,3037,凱基-站前,820417.35,-0.1172093,-0.13233838,,,,,欣興
2026-08-31,3081,凱基-站前,225899.2,,,,,,,聯亞
2026-09-07,3105,凱基-站前,245299.62,,,,,,,穩懋
2026-05-22,3189,凱基-站前,240542.7,0.16912972,0.13100893,0.30706076,0.25107315,0.42036125,0.43439872,景碩
2026-08-18,3189,凱基-站前,385220.05,0.01040462,-0.01259816,,,,,景碩
2024-07-09,3231,凱基-站前,206965.675,-0.06912442,-0.05032167,-0.12626728,-0.03673841,-0.05990783,-0.03505089,緯創
2024-10-08,3231,凱基-站前,228813.975,0.10784314,0.10146329,0.17647059,0.17720007,0.03431373,0.07987119,緯創
2025-01-03,3231,凱基-站前,311000.375,-0.00473934,0.01099991,0.02369668,0.00268303,-0.14407583,-0.0004333,緯創
2025-04-11,3231,凱基-站前,340632.94,0.1351052,0.08260011,0.20155039,0.10234571,0.31229236,0.23377962,緯創
2025-07-08,3231,凱基-站前,444364.75,-0.03375527,-0.04014365,0.0464135,0.00787001,0.23206751,0.15549983,緯創
2025-10-01,3231,凱基-站前,473448.5,-0.06506849,-0.06276217,-0.01712329,-0.02076593,0.00684932,-0.01445705,緯創
2025-12-30,3231,凱基-站前,530457.46,-0.00680272,-0.03971084,-0.08503401,-0.13911766,-0.10884354,-0.16117386,緯創
2026-04-08,3231,凱基-站前,411692.0,0.09923664,0.03291039,0.11450382,0.04152832,0.21374046,0.05717791,緯創
2026-07-03,3231,凱基-站前,458275.3,-0.09748428,-0.01409822,0.16981132,0.26871105,,,緯創
2026-02-06,3324,凱基-站前,204305.65,-0.05631068,-0.05443509,0.0,-0.04365511,-0.04660194,-0.14568558,雙鴻
2026-05-18,3324,凱基-站前,231951.1,0.16598778,0.10365572,0.07433809,0.01145605,0.06924644,0.04161629,雙鴻
2026-08-12,3324,凱基-站前,219976.9,0.02380952,0.0194057,,,,,雙鴻
2024-12-16,3443,凱基-站前,216609.7,-0.02930403,-0.04114197,-0.11721612,-0.09827701,-0.14285714,-0.17732675,創意
2025-03-21,3443,凱基-站前,245619.0,-0.23076923,-0.04925291,-0.21538462,-0.052761,-0.08974359,0.00747219,創意
2025-06-19,3443,凱基-站前,256143.0,0.19248826,0.17594467,0.15962441,0.14577244,0.30516432,0.24356356,創意
2025-09-11,3443,凱基-站前,251854.5,-0.05755396,-0.0697055,0.03956835,0.04536154,0.55395683,0.54383963,創意
2025-12-10,3443,凱基-站前,273246.0,-0.0625,-0.07518617,0.09490741,0.06726448,0.16435185,0.08496398,創意
2026-03-18,3443,凱基-站前,333966.0,-0.06361829,-0.03894414,0.29423459,0.25841329,0.91451292,0.79518121,創意
2026-06-15,3443,凱基-站前,392125.5,0.00623053,0.00236112,-0.1443406,-0.13587456,,,創意
2026-08-21,3450,凱基-站前,203111.95,0.05263158,0.04101018,,,,,聯鈞
2026-06-02,3481,凱基-站前,269254.055,-0.05160142,-0.04579084,0.19928826,0.19683937,-0.17704626,-0.15112495,群創
2026-08-27,3481,凱基-站前,300470.685,,,,,,,群創
2025-06-18,3529,凱基-站前,202000.0,0.07758621,0.07968222,-0.04956897,-0.04269203,0.00215517,-0.05842388,力旺
2025-09-10,3529,凱基-站前,212497.5,-0.07311828,-0.07364652,-0.14408602,-0.13684346,-0.14193548,-0.14147597,力旺
2025-12-09,3529,凱基-站前,242169.5,-0.14536341,-0.15666336,-0.16541353,-0.188987,0.4085213,0.33938802,力旺
2026-03-17,3529,凱基-站前,254625.0,-0.06405694,-0.02868587,0.31850534,0.28016983,0.09964413,-0.01346493,力旺
2026-06-12,3529,凱基-站前,238993.5,-0.06148867,-0.06276846,-0.2184466,-0.20848938,-0.08576052,-0.06470298,力旺
2026-09-08,3529,凱基-站前,230460.5,,,,,,,力旺
2025-05-16,3653,凱基-站前,203461.6,-0.04347826,-0.01484863,0.08333333,0.10118203,0.10507246,0.09976762,健策
2025-08-11,3653,凱基-站前,213358.9,0.17377049,0.15138722,0.60983607,0.56849618,0.4295082,0.40244622,健策
2025-11-07,3653,凱基-站前,251989.0,0.16743119,0.20338535,0.40366972,0.39351291,0.44036697,0.38434578,健策
2026-02-03,3653,凱基-站前,298723.9,-0.00636943,-0.0444035,0.03343949,0.02224422,0.12420382,0.02434763,健策
2026-05-13,3653,凱基-站前,289381.4,0.03966006,0.0106499,0.07648725,0.05053191,0.2407932,0.24219175,健策
2026-08-07,3653,凱基-站前,359535.5,0.23173516,0.21900364,0.3413242,0.31682333,,,健策
2024-05-06,3661,凱基-站前,201039.3,0.00352734,-0.0103297,0.01763668,-0.02306737,-0.08641975,-0.15233151,世芯-KY
2024-08-01,3661,凱基-站前,224815.3,-0.08301158,-0.04441284,0.04633205,0.05632777,-0.21235521,-0.18785715,世芯-KY
2024-10-30,3661,凱基-站前,275490.1,0.12990196,0.14804768,0.04901961,0.06990473,0.59068627,0.63024599,世芯-KY
2025-02-04,3661,凱基-站前,270989.7,0.08474576,0.03009602,-0.07395994,-0.12950863,-0.29892142,-0.21882665,世芯-KY
2025-05-05,3661,凱基-站前,339022.5,0.14505495,0.10643234,0.1956044,0.17498164,0.67692308,0.64496969,世芯-KY
2025-07-29,3661,凱基-站前,367326.0,0.06815203,0.04155432,0.04325033,-0.00287462,-0.1965924,-0.26672045,世芯-KY
2025-10-27,3661,凱基-站前,403660.0,0.21207178,0.23412952,-0.03099511,0.0159452,0.05709625,0.01023869,世芯-KY
2026-01-21,3661,凱基-站前,463105.5,0.04475309,0.04511715,0.0617284,0.0362799,0.23611111,0.17654655,世芯-KY
2026-04-29,3661,凱基-站前,442067.5,0.20599251,0.18032275,0.07365793,0.02260153,-0.1360799,-0.1598553,世芯-KY
2026-07-27,3661,凱基-站前,387340.5,0.0982659,0.0829573,0.07947977,0.06909488,,,世芯-KY
2025-11-12,3665,凱基-站前,203418.9,0.0,0.01258504,0.01666667,0.01059368,-0.14333333,-0.18385234,貿聯-KY
2026-02-06,3665,凱基-站前,262297.5,0.25291829,0.25479388,0.3151751,0.27151999,0.57587549,0.47679185,貿聯-KY
2026-05-18,3665,凱基-站前,294017.0,0.04691358,-0.01541848,0.11851852,0.05563648,0.06419753,0.03656739,貿聯-KY
2026-08-12,3665,凱基-站前,282051.95,-0.06960557,-0.07400939,,,,,貿聯-KY
2026-06-09,3711,凱基-站前,228339.55,0.14762742,0.12761115,0.09841828,0.08772475,0.03514938,0.06509973,日月光投控
2026-09-03,3711,凱基-站前,327983.25,,,,,,,日月光投控
