date,gap_pct,high_open_pct,day_return,walked_lower,f_vol,f_foreign,f_rise,f_fut_short,score_3,score_4,tx_oi,ratio_910,n_foreign_down
2024-09-27,0.005257,0.004362,-0.006797,1,0,0,0,1,0,1,-37081.000000,1.020493,0
2024-10-01,0.004729,0.005249,0.002720,0,0,0,0,1,0,1,-37202.000000,0.772180,0
2024-10-04,0.003069,0.001512,-0.006963,1,1,0,1,1,2,3,-39479.000000,1.845005,1
2024-10-07,0.007915,0.010669,0.009934,0,0,0,0,1,0,1,-37000.000000,1.094613,0
2024-10-09,0.001140,0.010990,0.000968,0,1,0,0,1,1,2,-41090.000000,1.230007,0
2024-10-11,0.002962,0.012537,0.007720,0,0,0,0,1,0,1,-40450.000000,0.978635,1
2024-10-14,0.001995,0.002973,0.001219,0,0,0,1,1,1,2,-41849.000000,0.974800,0
2024-10-15,0.004719,0.011706,0.009025,0,1,0,0,1,1,2,-39071.000000,1.340135,0
2024-10-17,0.004486,0.003356,-0.002612,1,0,0,0,1,0,1,-32317.000000,1.037309,0
2024-10-21,0.004926,0.003200,-0.002561,1,0,0,0,1,0,1,-28759.000000,0.793312,1
2024-10-24,0.004795,0.000000,-0.010838,1,0,1,1,1,2,3,-36095.000000,1.131643,3
2024-10-25,0.002697,0.005739,0.004015,0,0,0,0,1,0,1,-35511.000000,0.901157,1
2024-10-28,0.004593,0.003898,-0.010983,1,1,0,0,1,1,2,-37492.000000,1.310164,1
2024-10-30,0.002553,0.005708,-0.007166,1,0,0,0,1,0,1,-40874.000000,1.034736,1
2024-11-04,0.002594,0.007960,0.005526,0,0,0,0,1,0,1,-39276.000000,0.882868,0
2024-11-08,0.008513,0.003880,-0.002297,1,1,0,0,1,1,2,-45946.000000,1.271193,0
2024-11-15,0.002277,0.007629,-0.001069,1,0,1,0,1,1,2,-47248.000000,1.171775,2
2024-11-19,0.003025,0.012910,0.010350,0,0,0,0,1,0,1,-46583.000000,0.890120,0
2024-11-20,0.001055,0.004575,-0.008068,1,0,0,0,1,0,1,-41369.000000,1.015623,0
2024-11-22,0.010812,0.009628,0.004596,0,0,0,0,1,0,1,-43707.000000,1.099293,0
2024-11-25,0.004005,0.007670,-0.002073,1,0,0,0,1,0,1,-38202.000000,1.139801,0
2024-11-28,0.002045,0.001466,-0.003644,1,0,1,1,1,2,3,-45338.000000,0.773014,2
2024-12-02,0.008714,0.015409,0.012488,0,0,0,0,1,0,1,-44859.000000,1.128907,0
2024-12-03,0.010352,0.007508,0.002401,0,1,0,0,1,1,2,-37509.000000,1.672437,0
2024-12-04,0.004283,0.005589,0.005589,0,0,0,0,1,0,1,-38835.000000,0.904973,1
2024-12-05,0.002277,0.003384,-0.001731,1,1,0,0,1,1,2,-38787.000000,1.304833,0
