d0,code,d1,city_d0_buy_rank_top3,unicenter_city_d0_cobuy,fubon_chiayi_d0_cobuy,bonus_signal_count,d1_0915_close,has_d1_0915_close,addon_eligible,addon_ret_0915_to_close_pct
2025-10-22,2342,2025-10-23,True,False,True,2,36.4,True,True,1.098901098901095
2025-10-22,4931,2025-10-23,False,False,False,0,140.5,True,False,3.202846975088968
2025-10-22,6936,2025-10-23,True,False,False,1,42.0,True,False,0.0
2025-10-22,8422,2025-10-23,False,True,False,1,241.0,True,True,1.2448132780082988
2025-10-23,1419,2025-10-27,True,False,False,1,61.3,True,True,-0.16313213703099744
2025-10-23,3693,2025-10-27,True,False,False,1,327.5,True,False,0.0
2025-10-23,6936,2025-10-27,True,False,True,2,43.5,True,True,12.528735632183915
2025-10-27,4989,2025-10-28,True,False,False,1,,False,False,
2025-10-27,8299,2025-10-28,True,False,False,1,1010.0,True,False,-1.4851485148514851
2025-10-28,4979,2025-10-29,False,True,False,1,211.5,True,True,-0.4728132387706856
2025-10-28,6432,2025-10-29,True,False,False,1,37.65,True,True,1.4608233731739633
2025-10-29,3047,2025-10-30,False,False,False,0,21.1,True,False,-1.1848341232227488
2025-10-29,4989,2025-10-30,False,False,True,1,43.65,True,True,9.049255441008007
2025-10-29,5243,2025-10-30,False,True,False,1,92.5,True,False,8.108108108108109
2025-10-29,6515,2025-10-30,False,False,False,0,2600.0,True,False,2.307692307692308
2025-10-29,8096,2025-10-30,True,False,True,2,58.4,True,True,10.616438356164377
2025-10-29,8996,2025-10-30,True,False,False,1,,False,False,
2025-10-30,3047,2025-10-31,True,False,False,1,19.9,True,True,0.5025125628140596
2025-10-31,4588,2025-11-03,True,False,False,1,71.8,True,False,0.0
2025-10-31,8183,2025-11-03,True,False,False,1,36.1,True,True,-0.27700831024931144
2025-11-03,6257,2025-11-04,False,True,True,2,112.5,True,True,8.0
2025-11-03,6716,2025-11-04,True,False,False,1,62.5,True,True,6.2399999999999975
2025-11-03,8033,2025-11-04,False,False,False,0,137.5,True,False,-2.181818181818182
2025-11-04,1608,2025-11-05,True,False,True,2,39.05,True,False,-2.9449423815621145
2025-11-04,3162,2025-11-05,False,False,False,0,63.9,True,False,6.103286384976523
2025-11-05,1314,2025-11-06,True,False,False,1,9.75,True,False,0.0
2025-11-06,1718,2025-11-07,True,False,False,1,7.37,True,False,6.9199457259158725
2025-11-06,4989,2025-11-07,False,True,True,2,48.75,True,False,8.51282051282051
2025-11-06,8072,2025-11-07,True,False,False,1,32.7,True,True,3.058103975535179
2025-11-07,2421,2025-11-10,False,False,False,0,172.5,True,False,-2.318840579710145
2025-11-10,2344,2025-11-11,True,False,False,1,,False,False,
2025-11-10,3060,2025-11-11,True,False,False,1,28.3,True,False,-1.943462897526504
2025-11-10,3379,2025-11-11,True,False,True,2,60.0,True,True,1.6666666666666667
2025-11-10,8131,2025-11-11,False,True,False,1,45.4,True,True,1.211453744493386
2025-11-11,3060,2025-11-12,True,False,False,1,29.05,True,True,-4.130808950086056
2025-11-11,3236,2025-11-12,True,False,False,1,24.8,True,True,-4.233870967741938
2025-11-11,4989,2025-11-12,False,True,False,1,48.3,True,True,-1.8633540372670927
2025-11-12,1802,2025-11-13,True,False,False,1,37.0,True,False,2.5675675675675755
2025-11-12,2498,2025-11-13,False,False,False,0,51.0,True,False,0.3921568627451036
2025-11-12,5475,2025-11-13,True,False,False,1,,False,False,
2025-11-13,1326,2025-11-14,False,True,False,1,34.45,True,True,1.3062409288824466
2025-11-13,1605,2025-11-14,False,True,True,2,34.85,True,False,5.8823529411764826
2025-11-13,2486,2025-11-14,False,True,False,1,89.7,True,True,-2.341137123745813
2025-11-13,2492,2025-11-14,False,True,False,1,132.0,True,False,5.681818181818182
2025-11-13,3090,2025-11-14,False,False,True,1,92.0,True,True,1.7391304347826024
2025-11-13,6265,2025-11-14,True,False,False,1,20.75,True,False,-0.7228915662650535
2025-11-14,3543,2025-11-17,True,False,False,1,45.85,True,True,0.5452562704471101
2025-11-14,8043,2025-11-17,True,False,False,1,65.3,True,True,9.647779479326182
2025-11-14,8426,2025-11-17,True,True,False,2,,False,False,
2025-11-17,2486,2025-11-18,False,True,False,1,97.6,True,True,-4.5081967213114815
2025-11-20,5243,2025-11-21,True,False,False,1,84.5,True,False,-0.591715976331361
2025-11-21,6291,2025-11-24,True,False,False,1,169.0,True,False,-1.7751479289940828
2025-11-24,3105,2025-11-25,False,False,True,1,130.5,True,True,-2.681992337164751
2025-11-25,2413,2025-11-26,True,False,False,1,29.85,True,False,10.887772194304857
2025-11-25,8074,2025-11-26,True,True,True,3,37.6,True,True,5.5851063829787275
2025-11-26,2231,2025-11-27,True,False,True,2,112.0,True,True,4.017857142857143
2025-11-26,4903,2025-11-27,True,False,False,1,39.5,True,True,-4.050632911392409
2025-11-26,5371,2025-11-27,False,True,False,1,98.5,True,True,3.654822335025375
2025-11-26,8033,2025-11-27,True,False,False,1,148.0,True,True,4.391891891891892
2025-11-27,3581,2025-11-28,True,False,True,2,69.4,True,True,-2.449567723342923
2025-11-27,8039,2025-11-28,True,False,False,1,71.3,True,True,-10.238429172510516
2025-11-28,3025,2025-12-01,True,False,False,1,52.8,True,True,-1.893939393939394
2025-11-28,4931,2025-12-01,True,False,False,1,167.5,True,False,0.5970149253731344
2025-12-01,3532,2025-12-02,True,False,False,1,97.7,True,True,2.7635619242579352
2025-12-01,4764,2025-12-02,True,False,False,1,71.1,True,False,-1.6877637130801728
2025-12-01,8027,2025-12-02,False,False,True,1,103.5,True,True,5.603864734299514
2025-12-02,1304,2025-12-03,True,False,False,1,12.2,True,True,1.2295081967212997
2025-12-02,1308,2025-12-03,True,False,True,2,14.55,True,True,2.7491408934707926
2025-12-02,6588,2025-12-03,True,False,False,1,39.75,True,False,-3.1446540880503147
2025-12-03,3363,2025-12-04,False,True,True,2,413.0,True,True,1.573849878934625
2025-12-03,5328,2025-12-04,False,True,False,1,22.6,True,True,1.3274336283185872
2025-12-03,7728,2025-12-04,True,False,False,1,460.5,True,False,-2.0629750271444083
2025-12-03,8042,2025-12-04,False,True,True,2,60.5,True,True,4.2975206611570265
2025-12-03,8111,2025-12-04,False,True,False,1,76.7,True,True,7.822685788787484
2025-12-03,8131,2025-12-04,True,False,True,2,45.25,True,True,1.6574585635359116
2025-12-04,2365,2025-12-05,True,False,False,1,39.25,True,False,1.5286624203821693
2025-12-04,3354,2025-12-05,True,False,False,1,22.5,True,True,7.555555555555553
2025-12-04,4562,2025-12-05,True,False,False,1,42.7,True,False,0.0
2025-12-04,8038,2025-12-05,True,False,False,1,44.1,True,True,-1.8140589569160932
2025-12-05,6727,2025-12-08,True,True,False,2,180.5,True,True,1.10803324099723
2025-12-05,8374,2025-12-08,True,False,False,1,84.1,True,True,0.7134363852556413
2025-12-08,2388,2025-12-09,True,False,False,1,61.3,True,False,-1.957585644371946
2025-12-08,3535,2025-12-09,False,True,False,1,95.0,True,True,5.263157894736842
2025-12-08,4174,2025-12-09,True,False,False,1,30.35,True,True,4.118616144975288
2025-12-08,6435,2025-12-09,True,False,False,1,121.0,True,True,0.8264462809917356
2025-12-08,6691,2025-12-09,False,False,False,0,542.0,True,False,-2.214022140221402
2025-12-08,8110,2025-12-09,True,False,True,2,45.05,True,True,-6.3263041065482835
2025-12-09,4989,2025-12-10,False,False,True,1,45.2,True,True,3.4292035398230185
2025-12-09,6443,2025-12-10,True,False,False,1,16.5,True,False,0.0
2025-12-09,8103,2025-12-10,True,False,False,1,88.1,True,True,2.8376844494892173
2025-12-10,2402,2025-12-11,False,False,False,0,64.5,True,False,2.635658914728687
2025-12-10,2441,2025-12-11,False,True,False,1,76.9,True,True,-8.972691807542251
2025-12-10,6148,2025-12-11,True,True,False,2,42.85,True,True,4.084014002333722
2025-12-10,6443,2025-12-11,True,False,False,1,16.7,True,True,-4.790419161676651
2025-12-10,6664,2025-12-11,False,False,False,0,312.0,True,False,-1.4423076923076923
2025-12-10,8032,2025-12-11,True,False,False,1,40.1,True,True,3.9900249376558636
2025-12-11,2467,2025-12-12,False,True,False,1,237.5,True,True,-2.9473684210526314
2025-12-12,2349,2025-12-15,False,True,False,1,15.4,True,False,-0.32467532467531773
2025-12-12,4157,2025-12-15,True,False,False,1,13.9,True,False,0.0
2025-12-12,7717,2025-12-15,True,False,False,1,,False,False,
2025-12-15,4157,2025-12-16,True,False,True,2,14.25,True,True,3.8596491228070224
2025-12-15,4764,2025-12-16,False,False,False,0,104.5,True,False,6.124401913875603
2025-12-15,6133,2025-12-16,True,True,True,3,22.55,True,False,1.3303769401330408
2025-12-15,6443,2025-12-16,True,False,False,1,23.25,True,False,0.0
2025-12-15,6588,2025-12-16,False,True,False,1,50.8,True,True,0.5905511811023566
2025-12-15,8431,2025-12-16,False,True,False,1,65.2,True,True,8.588957055214726
2025-12-16,3047,2025-12-17,True,False,False,1,20.05,True,True,3.491271820448874
2025-12-16,3138,2025-12-17,True,False,False,1,104.5,True,True,-2.8708133971291865
2025-12-17,2468,2025-12-18,True,False,False,1,41.6,True,True,0.8413461538461573
2025-12-17,3624,2025-12-18,True,False,False,1,52.9,True,True,0.7561436672967837
2025-12-18,6265,2025-12-19,True,False,False,1,21.1,True,True,2.6066350710900505
2025-12-18,6558,2025-12-19,True,False,False,1,39.85,True,True,2.1329987452948593
2025-12-22,2455,2025-12-23,False,True,False,1,150.0,True,False,-2.0
2025-12-22,6125,2025-12-23,True,False,False,1,71.9,True,False,-1.9471488178024916
2025-12-22,6419,2025-12-23,True,False,False,1,88.5,True,True,5.084745762711865
2025-12-23,1785,2025-12-24,False,True,False,1,68.2,True,True,-2.63929618768328
2025-12-23,2413,2025-12-24,True,True,True,3,37.95,True,True,-1.9762845849802368
2025-12-23,6127,2025-12-24,False,True,True,2,37.45,True,False,4.005340453938584
2025-12-23,6244,2025-12-24,True,False,True,2,22.6,True,True,-0.22123893805308475
2025-12-26,1528,2025-12-29,True,False,True,2,21.4,True,False,-3.0373831775701037
2025-12-26,6205,2025-12-29,True,False,False,1,,False,False,
2025-12-29,1721,2025-12-30,True,False,False,1,16.8,True,False,0.0
2025-12-29,4989,2025-12-30,False,True,False,1,52.6,True,True,2.4714828897338483
2025-12-29,5340,2025-12-30,False,True,True,2,72.4,True,True,2.624309392265201
2025-12-29,5498,2025-12-30,False,True,False,1,53.1,True,False,-1.8832391713747645
2025-12-29,6205,2025-12-30,True,False,False,1,58.5,True,False,0.0
2025-12-29,7610,2025-12-30,True,False,False,1,149.5,True,False,-3.0100334448160537
2025-12-29,8422,2025-12-30,False,True,False,1,30.35,True,False,0.8237232289950577
2025-12-30,6205,2025-12-31,True,False,True,2,60.0,True,True,-3.3333333333333335
2025-12-30,6265,2025-12-31,True,False,False,1,31.2,True,False,-3.044871794871793
2025-12-31,6461,2026-01-02,True,False,False,1,19.55,True,False,0.0
2026-01-02,2337,2026-01-05,False,True,False,1,47.65,True,False,0.0
2026-01-02,3090,2026-01-05,False,True,False,1,110.0,True,True,7.727272727272727
2026-01-05,2409,2026-01-06,False,True,False,1,15.2,True,False,0.0
2026-01-05,3481,2026-01-06,False,True,False,1,21.25,True,False,-2.8235294117647127
2026-01-06,6770,2026-01-07,True,True,False,2,49.0,True,True,-0.40816326530612823
2026-01-06,8374,2026-01-07,True,False,False,1,93.1,True,False,1.933404940923735
2026-01-07,2349,2026-01-08,True,False,False,1,16.25,True,True,7.6923076923076925
2026-01-07,8105,2026-01-08,True,True,False,2,15.4,True,True,9.090909090909092
2026-01-07,8422,2026-01-08,False,True,False,1,36.8,True,False,3.5326086956521667
2026-01-08,1789,2026-01-09,True,False,False,1,23.7,True,True,1.2658227848101298
2026-01-08,3693,2026-01-09,True,False,False,1,353.5,True,True,2.6874115983026874
2026-01-09,3715,2026-01-12,False,False,True,1,144.5,True,False,0.0
2026-01-09,6163,2026-01-12,True,False,True,2,62.7,True,False,-4.625199362041454
2026-01-12,5347,2026-01-13,False,True,False,1,119.5,True,False,1.6736401673640167
2026-01-12,5425,2026-01-13,True,False,True,2,61.9,True,False,-6.300484652665587
2026-01-13,8422,2026-01-14,False,True,False,1,51.9,True,False,0.0
2026-01-13,9955,2026-01-14,True,False,False,1,38.9,True,False,-4.241645244215935
2026-01-14,1503,2026-01-15,False,False,False,0,196.0,True,False,-0.5102040816326531
2026-01-14,1514,2026-01-15,False,False,False,0,104.0,True,False,0.0
2026-01-14,2484,2026-01-15,True,False,True,2,26.85,True,True,-0.5586592178770896
2026-01-14,3152,2026-01-15,True,True,False,2,177.0,True,True,3.954802259887006
2026-01-14,3236,2026-01-15,True,True,False,2,36.6,True,True,-3.551912568306003
2026-01-14,4588,2026-01-15,True,False,False,1,66.0,True,True,2.1212121212121295
2026-01-14,4989,2026-01-15,False,False,True,1,65.9,True,False,-0.9104704097116757
2026-01-14,5328,2026-01-15,False,True,False,1,25.85,True,False,0.0
2026-01-14,6155,2026-01-15,False,True,True,2,60.7,True,False,0.0
2026-01-14,6173,2026-01-15,False,True,False,1,76.9,True,True,3.511053315994802
2026-01-14,8042,2026-01-15,False,True,True,2,72.6,True,False,2.2038567493112873
2026-01-15,5340,2026-01-16,True,False,True,2,84.2,True,False,0.0
2026-01-15,6919,2026-01-16,True,False,False,1,178.5,True,False,4.761904761904762
2026-01-16,2457,2026-01-19,True,False,False,1,32.05,True,True,4.524180967238676
2026-01-16,4533,2026-01-19,True,True,False,2,30.7,True,True,2.280130293159607
2026-01-16,4923,2026-01-19,True,False,False,1,31.3,True,True,-15.015974440894567
2026-01-16,8150,2026-01-19,False,True,False,1,71.9,True,False,1.5299026425591216
2026-01-19,8131,2026-01-20,False,True,True,2,73.8,True,True,0.8130081300812931
