signal_date,entry_date,stock_id,股票名稱,strategy,價格型態,signal_close,entry_close,whale_lag4_pct,whale_lag3_pct,whale_lag2_pct,whale_lag1_pct,whale_current_pct,單週大戶變化(百分點),兩週大戶變化(百分點),四週大戶變化(百分點),單週相對變化(%),兩週相對變化(%),跳升前3週最低大戶比例(%),selected_lot_bucket,prior_20d_return_pct,return_5d,return_10d,return_20d,return_60d,return_120d,excess_0050_5d,excess_0050_10d,推薦策略,策略條件
2017-09-22,2017-09-25,8924,大田,breakout_60d,60日突破,45.098779,47.272214,35.410000,35.410000,36.320000,36.190000,38.230000,2.040000,1.910000,2.820000,5.636916,5.258811,35.410000,1000,36.065574,-0.041667,-0.077586,0.011494,0.054598,0.250000,-0.044755,-0.107852,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2017-10-13,2017-10-16,8249,菱光,breakout_60d,60日突破,65.556569,64.481871,37.730000,37.730000,37.730000,37.730000,40.280000,2.550000,2.550000,2.550000,6.758548,6.758548,37.730000,1000,10.685484,-0.038889,-0.044444,-0.087037,-0.035185,-0.031481,-0.038889,-0.049770,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2017-10-20,2017-10-23,3567,逸昌,breakout_60d,60日突破,42.561313,43.003126,21.670000,21.670000,21.670000,21.670000,24.510000,2.840000,2.840000,2.840000,13.105676,13.105676,21.670000,1000,13.779528,-0.011986,0.136986,0.022260,0.094178,0.042808,-0.017312,0.132844,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2017-11-10,2017-11-13,3455,由田,breakout_60d,60日突破,80.343330,76.769339,16.650000,16.650000,16.650000,16.650000,20.740000,4.090000,4.090000,4.090000,24.564565,24.564565,16.650000,1000,17.097298,-0.055866,-0.048417,-0.094041,-0.204842,-0.239292,-0.052307,-0.046638,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2017-11-10,2017-11-13,4714,永捷,breakout_60d,60日突破,26.482757,25.566927,24.700000,26.630000,25.130000,25.260000,28.470000,3.210000,3.340000,3.770000,12.707838,13.290887,25.130000,1000,17.229730,-0.023881,-0.029851,-0.083582,-0.170149,-0.170149,-0.020322,-0.028071,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2018-01-12,2018-01-15,3048,益登,breakout_60d,60日突破,57.615217,58.573190,38.320000,38.560000,39.150000,39.310000,41.460000,2.150000,2.310000,3.140000,5.469346,5.900383,38.560000,1000,5.513784,-0.018692,-0.077103,-0.137850,-0.196262,-0.158181,-0.057676,-0.113800,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2018-01-26,2018-01-29,3324,雙鴻,breakout_60d,60日突破,104.342194,106.686963,29.640000,29.770000,29.840000,31.290000,34.580000,3.290000,4.740000,4.940000,10.514541,15.884718,29.770000,800,21.917808,-0.024176,-0.054945,-0.115385,-0.285714,-0.175545,-0.001382,0.013436,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2018-02-09,2018-02-12,3224,三顧,breakout_60d,60日突破,40.518369,42.148418,27.500000,28.700000,29.490000,29.390000,31.160000,1.770000,1.670000,3.660000,6.022457,5.662937,28.700000,1000,17.832957,0.033149,0.090239,0.114180,0.114180,0.101289,-0.000101,0.063891,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2018-03-31,2018-04-02,6411,晶焱,breakout_60d,60日突破,127.285672,125.467306,33.560000,35.610000,34.740000,37.230000,38.860000,1.630000,4.120000,5.300000,4.378190,11.859528,34.740000,600,13.024758,-0.080193,-0.088889,-0.123671,0.019324,-0.050897,-0.083233,-0.093752,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2018-07-13,2018-07-16,4984,名稱未提供,breakout_60d,60日突破,81.209111,81.209111,15.800000,15.800000,18.020000,20.400000,22.550000,2.150000,4.530000,6.750000,10.539216,25.138735,15.800000,1000,3.883495,0.005607,0.005607,0.011215,,,-0.021561,-0.033710,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2018-08-17,2018-08-20,2419,仲琦,breakout_60d,60日突破,40.806777,40.989767,29.860000,31.300000,31.820000,32.450000,34.590000,2.140000,2.770000,4.730000,6.594761,8.705217,31.300000,1000,9.852217,-0.008929,,-0.095384,-0.200817,-0.129122,-0.027988,,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
2018-11-16,2018-11-19,3455,由田,breakout_60d,60日突破,87.849943,96.486040,14.060000,14.320000,16.150000,14.320000,20.030000,5.710000,3.880000,5.970000,39.874302,24.024768,14.320000,1000,23.148018,0.114198,0.063272,0.134259,0.117284,0.075617,0.121368,0.035892,60日突破＋單週大戶跳升＋前期未流失,60日突破；單週大戶增加至少1.50pp；跳升前大戶比例低於40%；跳升前3週未低於4週前
