signal_date,entry_date,stock_id,股票名稱,strategy,策略名稱,signal_close,entry_close,whale_base_4w_pct,whale_current_pct,whale_change_4w_pp,whale_relative_change_pct,prior_20d_return_pct,return_20d,return_60d,return_120d
2016-12-02,2016-12-05,2545,皇翔,ma20_support_uptrend,月線支撐,121.722484,119.634108,77.060000,76.280000,-0.780000,-1.012198,8.222812,-0.008728,0.022444,0.057357
2016-12-02,2016-12-05,2605,新興,ma20_support_uptrend,月線支撐,51.633431,51.760921,51.490000,51.360000,-0.130000,-0.252476,15.714286,-0.036946,0.231527,0.017241
2016-12-02,2016-12-05,2606,裕民,ma20_support_uptrend,月線支撐,59.261597,58.337440,58.240000,59.000000,0.760000,1.304945,20.140515,-0.005941,0.346535,0.205941
2016-12-02,2016-12-05,2608,嘉里大榮,ma20_support_uptrend,月線支撐,58.237913,57.843526,85.050000,85.120000,0.070000,0.082305,7.524272,0.011364,-0.006818,-0.150000
2016-12-02,2016-12-05,2615,萬海,ma20_support_uptrend,月線支撐,31.491981,31.491981,84.470000,84.860000,0.390000,0.461702,9.333333,0.015244,0.128049,0.024390
2016-12-02,2016-12-05,2801,彰銀,ma20_support_uptrend,月線支撐,31.433191,31.152537,77.230000,77.430000,0.200000,0.258967,4.024768,0.027027,0.084084,0.042042
2016-12-02,2016-12-05,2809,名稱待補,ma20_support_uptrend,月線支撐,33.366774,33.244327,80.840000,80.740000,-0.100000,-0.123701,6.445312,0.033149,0.077348,0.164367
2016-12-02,2016-12-05,2845,遠東銀,ma20_support_uptrend,月線支撐,12.804347,12.762135,68.980000,69.210000,0.230000,0.333430,1.336303,0.005513,0.038589,0.055127
2016-12-02,2016-12-05,2884,玉山金,ma20_support_uptrend,月線支撐,40.643734,40.199540,80.180000,80.370000,0.190000,0.236967,3.682720,0.016575,0.011050,0.027624
2016-12-02,2016-12-05,2886,兆豐金,ma20_support_uptrend,月線支撐,41.276967,40.829278,85.090000,85.680000,0.590000,0.693383,5.251142,0.013158,0.039474,0.078947
2016-12-02,2016-12-05,2887,台新新光金,ma20_support_uptrend,月線支撐,23.768152,23.565870,64.910000,64.860000,-0.050000,-0.077030,3.524229,0.012876,0.034335,0.180258
2016-12-02,2016-12-05,2891,中信金,ma20_support_uptrend,月線支撐,42.968507,42.846438,75.050000,75.210000,0.160000,0.213191,4.142012,0.008547,0.059829,0.099715
2016-12-02,2016-12-05,2892,第一金,ma20_support_uptrend,月線支撐,39.585902,39.585902,64.000000,64.050000,0.050000,0.078125,2.735562,0.014793,0.082840,0.142012
2016-12-02,2016-12-05,3029,零壹,ma20_support_uptrend,月線支撐,31.162078,30.992258,30.120000,31.220000,1.100000,3.652058,5.763689,-0.019178,0.071233,-0.024658
2016-12-02,2016-12-05,3036,文曄,ma20_support_uptrend,月線支撐,139.627203,127.632796,66.930000,67.060000,0.130000,0.194233,4.728950,0.044578,0.084337,0.102410
2016-12-02,2016-12-05,3313,斐成,ma20_support_uptrend,月線支撐,18.600000,18.750000,48.250000,48.250000,0.000000,0.000000,6.590258,0.304000,1.026667,0.680000
2016-12-02,2016-12-05,3413,京鼎,ma20_support_uptrend,月線支撐,53.553483,53.811262,43.560000,43.560000,0.000000,0.000000,7.225806,0.032335,0.158084,1.053892
2016-12-02,2016-12-05,3454,名稱待補,ma20_support_uptrend,月線支撐,177.719937,178.837672,46.380000,45.180000,-1.200000,-2.587322,5.437666,0.048750,0.090000,0.011250
2016-12-02,2016-12-05,3625,西勝,ma20_support_uptrend,月線支撐,24.428070,25.877193,37.340000,36.250000,-1.090000,-2.919122,22.279793,0.008000,0.030000,0.254000
2016-12-02,2016-12-05,3702,大聯大,ma20_support_uptrend,月線支撐,96.332182,93.985629,73.110000,73.090000,-0.020000,-0.027356,4.697987,-0.007884,0.019711,0.055191
2016-12-02,2016-12-05,3706,神達,ma20_support_uptrend,月線支撐,36.356943,36.643670,60.530000,61.440000,0.910000,1.503387,12.014134,-0.034429,0.021909,0.170579
2016-12-02,2016-12-05,4157,太景*-KY,ma20_support_uptrend,月線支撐,29.750000,29.800000,67.740000,68.040000,0.300000,0.442870,4.753521,-0.088926,-0.104027,-0.219799
2016-12-02,2016-12-05,4167,松瑞藥,ma20_support_uptrend,月線支撐,26.750000,26.850000,40.410000,40.980000,0.570000,1.410542,6.150794,0.024209,-0.020484,-0.087523
2016-12-02,2016-12-05,4743,合一,ma20_support_uptrend,月線支撐,52.996448,51.798788,29.590000,29.590000,0.000000,0.000000,13.643660,-0.023121,-0.043353,-0.210983
2016-12-02,2016-12-05,5009,榮剛,ma20_support_uptrend,月線支撐,29.714710,29.880252,32.940000,33.900000,0.960000,2.914390,5.899705,0.060942,0.432133,0.058172
2016-12-02,2016-12-05,5201,凱衛,ma20_support_uptrend,月線支撐,51.177559,54.837686,15.490000,14.720000,-0.770000,-4.970949,37.413793,-0.268150,-0.510539,-0.637002
2016-12-02,2016-12-05,6116,彩晶,ma20_support_uptrend,月線支撐,4.913970,5.049372,45.200000,46.500000,1.300000,2.876106,11.666667,-0.110615,-0.034637,-0.093855
2016-12-02,2016-12-05,6143,振曜,ma20_support_uptrend,月線支撐,140.996280,142.538427,43.540000,43.330000,-0.210000,-0.482315,8.108108,0.092736,-0.003091,0.054096
2016-12-02,2016-12-05,6214,精誠,ma20_support_uptrend,月線支撐,87.590850,88.676046,51.730000,51.940000,0.210000,0.405954,9.073359,0.022727,0.104895,0.110140
2016-12-02,2016-12-05,6294,智基,ma20_support_uptrend,月線支撐,4.968391,4.988506,38.450000,38.450000,0.000000,0.000000,9.777778,-0.040323,0.036290,-0.052419
2016-12-02,2016-12-05,6488,環球晶,ma20_support_uptrend,月線支撐,98.543284,98.113433,87.710000,87.820000,0.110000,0.125413,11.965812,0.259584,1.015334,1.650602
2016-12-02,2016-12-05,6505,台塑化,ma20_support_uptrend,月線支撐,175.934454,174.312939,97.750000,97.750000,0.000000,0.000000,7.960199,0.018605,-0.032558,-0.004651
2016-12-02,2016-12-05,8081,致新,ma20_support_uptrend,月線支撐,152.404656,150.142238,38.500000,42.010000,3.510000,9.116883,6.618705,-0.042466,-0.057534,0.020548
2016-12-02,2016-12-05,8112,至上,ma20_support_uptrend,月線支撐,39.482392,38.451727,34.940000,37.600000,2.660000,7.613051,10.176991,0.061856,0.103093,0.096907
2016-12-02,2016-12-05,8271,宇瞻,ma20_support_uptrend,月線支撐,41.287735,41.725635,25.360000,21.870000,-3.490000,-13.761830,3.125000,-0.014993,0.104948,0.301349
2016-12-02,2016-12-05,8929,富堡,ma20_support_uptrend,月線支撐,44.937269,45.013823,39.950000,39.910000,-0.040000,-0.100125,15.551181,0.010204,0.180272,0.952381
2016-12-02,2016-12-05,9933,中鼎,ma20_support_uptrend,月線支撐,96.942435,95.388247,81.120000,81.510000,0.390000,0.480769,5.608466,-0.004073,0.020367,0.013238
2016-12-02,2016-12-05,9939,宏全,ma20_support_uptrend,月線支撐,92.798858,93.142557,43.160000,44.170000,1.010000,2.340130,7.355865,-0.018450,0.116236,0.156827
2016-12-02,2016-12-05,9941,裕融,ma20_support_uptrend,月線支撐,144.236100,144.806203,75.510000,75.540000,0.030000,0.039730,5.710306,0.011811,0.144357,0.384514
2016-12-09,2016-12-12,1584,精剛,dip_5_10d_above_ma240,淺幅回檔承接,16.398636,16.508326,53.780000,52.250000,-1.530000,-2.844924,-5.678233,-0.023256,0.162791,-0.149502
2016-12-09,2016-12-12,2023,燁輝,dip_5_10d_above_ma240,淺幅回檔承接,20.598850,20.686133,71.050000,70.430000,-0.620000,-0.872625,-6.719368,-0.042194,0.215190,0.054852
2016-12-09,2016-12-12,2488,漢平,dip_5_10d_above_ma240,淺幅回檔承接,81.438947,80.097600,37.770000,35.520000,-2.250000,-5.957109,-5.239688,0.004785,0.057416,-0.047847
2016-12-09,2016-12-12,2641,正德,dip_5_10d_above_ma240,淺幅回檔承接,11.439232,11.181592,70.750000,67.290000,-3.460000,-4.890459,-6.722689,0.059908,-0.217512,-0.326267
2016-12-09,2016-12-12,2723,美食-KY,dip_5_10d_above_ma240,淺幅回檔承接,345.252525,321.311656,90.990000,90.590000,-0.400000,-0.439609,-5.190311,0.013725,0.215686,0.280392
2016-12-09,2016-12-12,3054,立萬利,dip_5_10d_above_ma240,淺幅回檔承接,32.121317,32.121317,71.700000,76.220000,4.520000,6.304045,-6.318083,-0.002326,-0.083721,-0.039535
2016-12-09,2016-12-12,4532,瑞智,dip_5_10d_above_ma240,淺幅回檔承接,57.593124,57.311725,77.790000,76.650000,-1.140000,-1.465484,-8.630952,0.076923,0.119476,0.083470
2016-12-09,2016-12-12,4994,傳奇,dip_5_10d_above_ma240,淺幅回檔承接,336.686892,319.420898,86.240000,86.220000,-0.020000,-0.023191,-7.509881,-0.003003,0.000000,0.045045
2016-12-09,2016-12-12,5904,寶雅,dip_5_10d_above_ma240,淺幅回檔承接,788.061759,770.730517,89.900000,89.730000,-0.170000,-0.189099,-9.058824,0.031746,-0.021164,0.058201
2016-12-09,2016-12-12,8415,大國鋼,dip_5_10d_above_ma240,淺幅回檔承接,18.150000,18.450000,93.970000,92.520000,-1.450000,-1.543046,-8.333333,-0.013550,-0.021680,-0.024390
2016-12-09,2016-12-12,2415,錩新,dip_10_20d_above_ma240,多頭回檔承接,41.342740,41.615930,54.500000,55.720000,1.220000,2.238532,-10.099010,0.164114,0.577681,0.251641
2016-12-09,2016-12-12,1215,卜蜂,ma20_support_uptrend,月線支撐,82.751159,81.677631,59.510000,59.340000,-0.170000,-0.285666,4.166667,0.028478,0.171961,0.507119
2016-12-09,2016-12-12,1229,聯華,ma20_support_uptrend,月線支撐,46.817007,46.817007,72.280000,71.360000,-0.920000,-1.272828,5.952381,0.008989,0.083146,0.222472
2016-12-09,2016-12-12,1301,台塑,ma20_support_uptrend,月線支撐,178.544655,178.544655,87.550000,87.660000,0.110000,0.125642,8.117647,-0.026115,-0.013058,-0.016322
2016-12-09,2016-12-12,1304,台聚,ma20_support_uptrend,月線支撐,39.021023,40.091722,56.520000,56.770000,0.250000,0.442321,5.806452,-0.059347,-0.032641,-0.100890
2016-12-09,2016-12-12,1305,華夏,ma20_support_uptrend,月線支撐,35.765125,35.029767,74.730000,75.000000,0.270000,0.361301,8.519270,-0.114504,0.114504,0.064885
2016-12-09,2016-12-12,1308,亞聚,ma20_support_uptrend,月線支撐,59.086970,61.689246,53.090000,52.000000,-1.090000,-2.053117,6.336088,-0.032258,-0.074442,-0.074442
2016-12-09,2016-12-12,1310,台苯,ma20_support_uptrend,月線支撐,27.319885,27.063961,41.510000,45.660000,4.150000,9.997591,27.083333,-0.063830,0.167849,0.139480
2016-12-09,2016-12-12,1326,台化,ma20_support_uptrend,月線支撐,187.696611,187.317426,92.040000,92.050000,0.010000,0.010865,4.100946,-0.032389,-0.044534,-0.082996
2016-12-09,2016-12-12,1409,新纖,ma20_support_uptrend,月線支撐,12.933671,12.961636,66.370000,66.830000,0.460000,0.693084,9.857482,-0.022654,0.094930,-0.045307
2016-12-09,2016-12-12,1434,福懋,ma20_support_uptrend,月線支撐,53.498845,53.588158,84.150000,84.220000,0.070000,0.083185,7.155635,0.003333,0.035000,0.003333
2016-12-09,2016-12-12,1452,宏益,ma20_support_uptrend,月線支撐,38.171749,38.083388,28.990000,24.960000,-4.030000,-13.901345,16.756757,-0.027842,-0.009281,0.143852
