signal_date,entry_date,stock_id,股票名稱,strategy,價格型態,signal_close,entry_close,whale_lag4_pct,whale_lag3_pct,whale_lag2_pct,whale_lag1_pct,whale_current_pct,單週大戶變化(百分點),兩週大戶變化(百分點),四週大戶變化(百分點),單週相對變化(%),兩週相對變化(%),跳升前3週最低大戶比例(%),selected_lot_bucket,prior_20d_return_pct,return_5d,return_10d,return_20d,return_60d,return_120d,excess_0050_5d,excess_0050_10d
2024-09-06,2024-09-09,4956,光鋐,breakout_20d,20日突破,38.063070,36.766805,31.580000,33.500000,32.690000,32.900000,35.450000,2.550000,2.760000,3.870000,7.750760,8.442949,32.690000,1000,27.920792,-0.086538,-0.094551,0.100962,0.174679,-0.051282,-0.125481,-0.169820
2024-09-06,2024-09-09,5536,聖暉*,breakout_20d,20日突破,1810.769763,1837.796177,66.900000,67.570000,67.650000,67.700000,68.740000,1.040000,1.090000,1.840000,1.536189,1.611234,67.570000,100,19.642857,0.075163,0.091503,0.088235,0.183007,0.273678,0.036221,0.016234
2024-09-06,2024-09-09,6163,華電網,breakout_20d,20日突破,43.711834,44.143769,30.560000,30.410000,31.940000,32.060000,32.650000,0.590000,0.710000,2.090000,1.840299,2.222918,30.410000,1000,13.879905,0.115460,0.138943,0.005871,-0.039139,-0.150685,0.076518,0.063674
2024-09-06,2024-09-09,6187,萬潤,breakout_20d,20日突破,695.078792,705.869149,60.500000,70.230000,67.520000,68.380000,67.380000,-1.000000,-0.140000,6.880000,-1.462416,-0.207346,67.520000,100,36.091549,0.202548,0.238217,0.248408,0.119745,-0.175796,0.163606,0.162948
2024-09-06,2024-09-09,6215,和椿,breakout_20d,20日突破,138.696114,134.727699,33.030000,31.590000,35.190000,39.110000,34.740000,-4.370000,-0.450000,1.710000,-11.173613,-1.278772,31.590000,600,4.954955,0.001473,-0.027982,-0.110457,-0.159057,0.509573,-0.037469,-0.103251
2024-09-06,2024-09-09,8462,柏文,breakout_20d,20日突破,334.782523,339.548110,68.470000,69.060000,69.070000,69.260000,70.230000,0.970000,1.160000,1.760000,1.400520,1.679456,69.060000,200,25.446429,-0.028070,-0.087719,-0.147368,-0.175439,-0.150877,-0.067012,-0.162988
2024-09-06,2024-09-09,2228,劍麟,breakout_60d,60日突破,176.355602,179.344680,60.300000,59.810000,59.070000,58.900000,60.220000,1.320000,1.150000,-0.080000,2.241087,1.946843,58.900000,400,28.680480,-0.016667,0.000000,-0.095833,-0.145833,-0.198333,-0.055609,-0.075269
2024-09-06,2024-09-09,3003,健和興,breakout_60d,60日突破,225.668058,229.179491,60.520000,62.000000,62.850000,63.580000,64.420000,0.840000,1.570000,3.900000,1.321170,2.498011,62.000000,400,24.226804,0.007150,-0.023493,-0.165475,-0.222676,-0.307457,-0.031792,-0.098762
2024-09-06,2024-09-09,4956,光鋐,breakout_60d,60日突破,38.063070,36.766805,31.580000,33.500000,32.690000,32.900000,35.450000,2.550000,2.760000,3.870000,7.750760,8.442949,32.690000,1000,27.920792,-0.086538,-0.094551,0.100962,0.174679,-0.051282,-0.125481,-0.169820
2024-09-06,2024-09-09,5536,聖暉*,breakout_60d,60日突破,1810.769763,1837.796177,66.900000,67.570000,67.650000,67.700000,68.740000,1.040000,1.090000,1.840000,1.536189,1.611234,67.570000,100,19.642857,0.075163,0.091503,0.088235,0.183007,0.273678,0.036221,0.016234
2024-09-06,2024-09-09,6187,萬潤,breakout_60d,60日突破,695.078792,705.869149,60.500000,70.230000,67.520000,68.380000,67.380000,-1.000000,-0.140000,6.880000,-1.462416,-0.207346,67.520000,100,36.091549,0.202548,0.238217,0.248408,0.119745,-0.175796,0.163606,0.162948
2024-09-06,2024-09-09,6215,和椿,breakout_60d,60日突破,138.696114,134.727699,33.030000,31.590000,35.190000,39.110000,34.740000,-4.370000,-0.450000,1.710000,-11.173613,-1.278772,31.590000,600,4.954955,0.001473,-0.027982,-0.110457,-0.159057,0.509573,-0.037469,-0.103251
