signal_date,entry_date,stock_id,strategy,signal_close,entry_close,whale_base_4w_pct,whale_current_pct,whale_change_4w_pp,whale_relative_change_pct,selected_lot_bucket,daily_value_20d,prior_20d_return_pct,distance_ma20_pct,distance_ma60_pct,company_name,strategy_name,strategy_description,daily_value_20d_m
2026-07-03,2026-07-06,6739,pullback_20_30,1342.469978,1357.960016,68.630000,68.750000,0.120000,0.174851,100,290498884.900000,3.370380,14.558549,-0.127867,竹陞科技,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,290.498885
2026-07-03,2026-07-06,6776,pullback_20_30,77.409804,77.692322,61.350000,61.350000,0.000000,0.000000,1000,20749878.350000,-4.145937,-1.398748,-1.530393,展碁國際,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,20.749878
2026-07-03,2026-07-06,6805,pullback_20_30,1656.822624,1595.835288,77.610000,75.460000,-2.150000,-2.770262,100,2182658218.000000,-17.884131,-7.228230,-12.054314,富世達,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,2182.658218
2026-07-03,2026-07-06,6861,pullback_20_30,351.262655,344.827309,63.340000,61.920000,-1.420000,-2.241869,200,262438523.350000,-5.403479,-1.932055,-0.325740,睿生光電,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,262.438523
2026-07-03,2026-07-06,6877,pullback_20_30,165.459768,161.823290,73.870000,73.090000,-0.780000,-1.055909,400,62467079.000000,-12.218650,2.573737,-9.732172,鏵友益,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,62.467079
2026-07-03,2026-07-06,7711,pullback_20_30,333.771429,334.285714,68.150000,67.710000,-0.440000,-0.645635,200,155539050.050000,-12.165414,-4.782088,-9.406630,永擎,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,155.539050
2026-07-03,2026-07-06,7728,pullback_20_30,694.285146,702.550446,67.540000,67.940000,0.400000,0.592242,100,39853101.700000,-9.027617,-3.443371,-8.361331,光焱科技,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,39.853102
2026-07-03,2026-07-06,7734,pullback_20_30,4073.615023,3797.328831,83.680000,83.450000,-0.230000,-0.274857,100,733684312.000000,2.572347,0.188442,-2.997745,印能科技,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,733.684312
2026-07-03,2026-07-06,7744,pullback_20_30,473.070423,471.549296,82.710000,81.580000,-1.130000,-1.366219,200,53733303.750000,0.322581,0.026802,-6.011666,崴寶,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,53.733304
2026-07-03,2026-07-06,7750,pullback_20_30,2221.340000,2216.280000,88.490000,88.160000,-0.330000,-0.372923,100,538474756.000000,-3.938731,1.315486,-2.505830,新代,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,538.474756
2026-07-03,2026-07-06,8074,pullback_20_30,201.281753,198.385613,38.650000,39.450000,0.800000,2.069858,400,142131551.400000,-4.794521,-2.421902,-6.653548,鉅橡,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,142.131551
2026-07-03,2026-07-06,8240,pullback_20_30,116.469038,116.690462,51.770000,50.160000,-1.610000,-3.109909,600,38539190.100000,-11.755264,-2.817805,-13.487809,華宏,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,38.539190
2026-07-03,2026-07-06,8271,pullback_20_30,411.968605,418.372262,53.000000,47.300000,-5.700000,-10.754717,200,592119562.350000,-19.358754,-3.113294,-8.166239,宇瞻,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,592.119562
2026-07-03,2026-07-06,9105,pullback_20_30,52.868395,52.299918,16.750000,13.490000,-3.260000,-19.462687,1000,798411314.750000,-26.771654,-3.471898,22.199593,泰金寶-DR,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,798.411315
2026-07-03,2026-07-06,9136,pullback_20_30,22.193346,21.948566,57.840000,62.070000,4.230000,7.313278,1000,43967506.850000,-15.264798,-13.001759,3.052090,巨騰-DR,中期回檔,距120日高點回檔20–30%，仍在240日均線之上。,43.967507
2026-07-03,2026-07-06,1423,dip_5_10d_above_ma240,44.828789,44.464820,74.590000,76.290000,1.700000,2.279126,1000,32172308.500000,-8.180975,-5.484320,-3.518053,利華,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,32.172308
2026-07-03,2026-07-06,1513,dip_5_10d_above_ma240,449.724081,454.820104,46.160000,45.750000,-0.410000,-0.888215,200,2071524055.250000,-5.614973,1.349411,8.593109,中興電,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,2071.524055
2026-07-03,2026-07-06,1524,dip_5_10d_above_ma240,53.854890,53.582436,35.280000,35.270000,-0.010000,-0.028345,1000,22015827.900000,-9.465649,0.025302,0.564232,耿鼎,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,22.015828
2026-07-03,2026-07-06,1597,dip_5_10d_above_ma240,325.186855,315.806464,59.580000,61.510000,1.930000,3.239342,200,310059387.350000,-9.565217,3.174603,1.759040,直得,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,310.059387
2026-07-03,2026-07-06,1609,dip_5_10d_above_ma240,80.299944,88.269411,27.920000,26.720000,-1.200000,-4.297994,1000,319601189.050000,-5.734596,6.769132,12.917049,大亞,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,319.601189
2026-07-03,2026-07-06,1611,dip_5_10d_above_ma240,30.749371,30.860782,46.850000,45.640000,-1.210000,-2.582711,1000,23018882.650000,-8.000000,3.312746,11.170784,中電,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,23.018883
2026-07-03,2026-07-06,1612,dip_5_10d_above_ma240,104.785250,104.785250,57.600000,55.850000,-1.750000,-3.038194,800,60955202.700000,-7.414201,-0.203546,2.341248,宏泰,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,60.955203
2026-07-03,2026-07-06,1762,dip_5_10d_above_ma240,53.457366,57.711268,37.590000,36.100000,-1.490000,-3.963820,1000,27069004.450000,-7.371007,1.323658,8.260745,中化生,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,27.069004
2026-07-03,2026-07-06,1809,dip_5_10d_above_ma240,81.015987,78.160136,47.210000,43.140000,-4.070000,-8.621055,1000,629117416.750000,-7.863248,2.272188,30.584886,中釉,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,629.117417
2026-07-03,2026-07-06,2027,dip_5_10d_above_ma240,163.639982,164.236482,73.680000,73.910000,0.230000,0.312161,400,811426017.050000,-6.689342,-0.956736,2.412012,大成鋼,淺幅回檔承接,近20日回檔5–10%，但仍站在240日均線之上。,811.426017
