價格結構,大戶路徑,增加門檻(百分點),原始比例上限(%),跳升前允許流失(百分點),穩健分數,訓練期2017–2021_n,訓練期2017–2021_weeks,訓練期2017–2021_mean,訓練期2017–2021_median,訓練期2017–2021_win,訓練期2017–2021_weekly,驗證期2022–2023_n,驗證期2022–2023_weeks,驗證期2022–2023_mean,驗證期2022–2023_median,驗證期2022–2023_win,驗證期2022–2023_weekly,最終驗證2024–2025_n,最終驗證2024–2025_weeks,最終驗證2024–2025_mean,最終驗證2024–2025_median,最終驗證2024–2025_win,最終驗證2024–2025_weekly
breakout_20d,單週,1.5,40,1.0,0.48,148,97,0.03,-0.77,45.27,-0.36,81,41,1.94,0.32,50.62,2.67,84,53,-0.88,-3.26,34.52,0.42
breakout_20d,單週,2.0,40,0.5,0.44,81,65,-1.32,-1.13,39.51,-1.1,42,31,1.98,1.19,52.38,0.91,34,26,0.71,-2.32,44.12,1.11
breakout_60d,兩週,1.0,40,0.5,0.44,354,165,-0.49,-1.96,42.66,-0.64,153,68,1.63,-0.29,49.02,1.97,150,68,0.34,-2.66,35.33,0.98
ma20_reclaim_uptrend,四週,1.0,40,0.5,0.4,132,78,1.12,-0.84,43.94,0.58,63,37,0.43,-1.61,41.27,0.73,58,40,1.2,-1.85,39.66,0.68
ma20_reclaim_uptrend,四週,1.0,40,1.0,0.4,132,78,1.12,-0.84,43.94,0.58,63,37,0.43,-1.61,41.27,0.73,58,40,1.2,-1.85,39.66,0.68
ma20_reclaim_uptrend,四週,1.0,40,0.0,0.4,132,78,1.12,-0.84,43.94,0.58,63,37,0.43,-1.61,41.27,0.73,58,40,1.2,-1.85,39.66,0.68
breakout_60d,兩週,1.5,40,0.0,0.39,231,132,-0.01,-1.34,46.32,-0.34,106,54,1.55,-0.32,49.06,0.83,108,58,0.93,-1.93,40.74,0.99
breakout_20d,兩週,1.0,40,0.5,0.39,518,194,-0.27,-1.87,41.31,-0.66,237,79,1.38,0.12,50.63,2.34,231,78,0.22,-2.38,37.66,0.27
breakout_60d,單週,0.75,40,1.0,0.39,241,142,0.11,-1.14,45.23,0.14,115,56,1.58,0.73,52.17,1.21,116,63,1.04,-2.34,40.52,0.38
breakout_20d,兩週,1.0,40,1.0,0.36,526,195,-0.31,-1.9,41.25,-0.69,238,79,1.35,0.09,50.42,2.28,231,78,0.22,-2.38,37.66,0.27
breakout_60d,兩週,1.0,40,1.0,0.34,362,167,-0.54,-2.0,42.54,-0.69,154,68,1.58,-0.32,48.7,1.73,150,68,0.34,-2.66,35.33,0.98
breakout_20d,兩週,3.0,40,0.5,0.3,98,78,0.67,-0.41,45.92,0.43,63,37,0.24,-0.34,49.21,-0.0,63,41,0.63,-2.08,36.51,1.56
breakout_20d,四週,3.0,40,0.5,0.25,181,116,-0.29,-1.05,42.54,-0.55,95,52,1.27,-1.05,46.32,0.87,92,52,-0.06,-3.59,33.7,1.62
breakout_20d,四週,3.0,40,0.0,0.25,181,116,-0.29,-1.05,42.54,-0.55,95,52,1.27,-1.05,46.32,0.87,92,52,-0.06,-3.59,33.7,1.62
breakout_20d,四週,3.0,40,1.0,0.25,181,116,-0.29,-1.05,42.54,-0.55,95,52,1.27,-1.05,46.32,0.87,92,52,-0.06,-3.59,33.7,1.62
breakout_20d,四週,1.5,40,0.0,0.24,439,187,-0.01,-1.47,41.69,-0.24,218,78,1.42,-0.45,48.17,1.32,204,78,-0.38,-2.59,36.27,0.68
breakout_20d,四週,1.5,40,1.0,0.24,439,187,-0.01,-1.47,41.69,-0.24,218,78,1.42,-0.45,48.17,1.32,204,78,-0.38,-2.59,36.27,0.68
breakout_20d,四週,1.5,40,0.5,0.24,439,187,-0.01,-1.47,41.69,-0.24,218,78,1.42,-0.45,48.17,1.32,204,78,-0.38,-2.59,36.27,0.68
breakout_60d,兩週,2.5,40,0.0,0.23,113,82,0.88,-0.12,49.56,0.65,64,40,0.97,1.19,53.12,0.97,56,39,0.6,-1.67,37.5,0.25
breakout_20d,兩週,2.0,40,0.0,0.21,210,131,0.56,-0.35,47.14,-0.33,111,59,1.57,0.52,50.45,1.84,105,60,-0.31,-3.02,35.24,0.34
breakout_60d,兩週,1.5,40,0.5,0.21,241,136,-0.3,-1.35,46.06,-0.73,111,56,1.36,-0.34,48.65,0.72,112,58,0.82,-1.93,40.18,0.95
breakout_60d,兩週,2.5,40,0.5,0.17,115,84,0.61,-0.32,48.7,0.27,67,42,1.17,1.39,53.73,1.24,57,39,0.58,-1.57,36.84,0.2
breakout_60d,四週,3.0,40,1.0,0.14,145,97,-0.05,-1.05,43.45,-0.34,79,46,1.37,-0.34,48.1,0.59,72,46,0.5,-3.73,33.33,1.51
breakout_60d,四週,3.0,40,0.5,0.14,145,97,-0.05,-1.05,43.45,-0.34,79,46,1.37,-0.34,48.1,0.59,72,46,0.5,-3.73,33.33,1.51
breakout_60d,四週,3.0,40,0.0,0.14,145,97,-0.05,-1.05,43.45,-0.34,79,46,1.37,-0.34,48.1,0.59,72,46,0.5,-3.73,33.33,1.51
breakout_20d,四週,2.5,40,0.5,0.12,233,138,-0.44,-1.05,42.06,-0.5,119,62,1.25,-1.05,47.06,0.5,115,60,-0.14,-3.73,34.78,1.46
breakout_20d,四週,2.5,40,1.0,0.12,233,138,-0.44,-1.05,42.06,-0.5,119,62,1.25,-1.05,47.06,0.5,115,60,-0.14,-3.73,34.78,1.46
breakout_20d,四週,2.5,40,0.0,0.12,233,138,-0.44,-1.05,42.06,-0.5,119,62,1.25,-1.05,47.06,0.5,115,60,-0.14,-3.73,34.78,1.46
breakout_60d,兩週,2.5,40,1.0,0.1,117,85,0.58,-0.32,48.72,0.23,68,43,1.06,1.19,52.94,1.06,57,39,0.58,-1.57,36.84,0.2
breakout_20d,單週,1.5,40,0.5,0.08,131,90,0.27,-0.52,46.56,-0.11,69,39,1.44,-0.17,49.28,1.18,64,46,-0.69,-2.88,35.94,0.38
breakout_60d,兩週,1.5,40,1.0,0.06,247,139,-0.42,-1.59,45.34,-0.88,112,56,1.29,-0.45,48.21,0.42,112,58,0.82,-1.93,40.18,0.95
breakout_60d,四週,2.5,40,0.0,0.02,185,117,-0.33,-1.2,43.24,-0.48,98,57,1.34,-0.48,47.96,0.12,88,53,0.21,-3.91,34.09,1.62
breakout_60d,四週,2.5,40,1.0,0.02,185,117,-0.33,-1.2,43.24,-0.48,98,57,1.34,-0.48,47.96,0.12,88,53,0.21,-3.91,34.09,1.62
breakout_60d,四週,2.5,40,0.5,0.02,185,117,-0.33,-1.2,43.24,-0.48,98,57,1.34,-0.48,47.96,0.12,88,53,0.21,-3.91,34.09,1.62
breakout_60d,四週,2.0,40,0.0,0.01,239,139,-0.03,-1.13,43.93,-0.18,123,65,1.12,-0.33,48.78,0.16,108,61,-0.31,-3.85,34.26,1.34
breakout_60d,四週,2.0,40,0.5,0.01,239,139,-0.03,-1.13,43.93,-0.18,123,65,1.12,-0.33,48.78,0.16,108,61,-0.31,-3.85,34.26,1.34
breakout_60d,四週,2.0,40,1.0,0.01,239,139,-0.03,-1.13,43.93,-0.18,123,65,1.12,-0.33,48.78,0.16,108,61,-0.31,-3.85,34.26,1.34
