資料日期,代號,股票名稱,資料日收盤價,動態大戶級距(張),前週大戶比例(%),本週大戶比例(%),本週變化(百分點)
2016-11-11,8033,雷虎,11.492690,1000,27.910000,28.320000,0.410000
2016-11-11,8404,百和興業-KY,55.118600,1000,74.620000,75.030000,0.410000
2016-11-11,2723,美食-KY,364.153210,200,90.590000,90.990000,0.400000
2016-11-11,2006,東和鋼鐵,40.533129,1000,64.320000,64.710000,0.390000
2016-11-11,4966,譜瑞-KY,504.486575,200,72.590000,72.980000,0.390000
2016-11-11,1457,宜進,8.065573,1000,48.020000,48.410000,0.390000
2016-11-11,6160,欣技,33.695284,1000,39.260000,39.640000,0.380000
2016-11-11,6282,康舒,46.486148,1000,48.150000,48.530000,0.380000
2016-11-11,3049,精金,4.162599,1000,50.310000,50.690000,0.380000
2016-11-11,3434,哲固,,100,72.770000,73.150000,0.380000
2016-11-11,3499,環天科,20.263849,1000,37.670000,38.050000,0.380000
2016-11-11,6245,立端,84.921210,1000,34.560000,34.940000,0.380000
2016-11-11,2448,名稱待補,31.801413,1000,40.950000,41.320000,0.370000
2016-11-11,1432,大魯閣,23.106033,1000,72.860000,73.220000,0.360000
2016-11-11,1528,恩德,18.926174,1000,52.300000,52.660000,0.360000
2016-11-11,3017,奇鋐,45.576778,1000,43.440000,43.800000,0.360000
2016-11-11,3294,英濟,21.459174,1000,65.890000,66.250000,0.360000
2016-11-11,4999,鑫禾,73.040805,1000,44.880000,45.240000,0.360000
2016-11-11,5530,龍巖,66.551057,1000,82.080000,82.440000,0.360000
2016-11-11,1339,昭輝,44.115871,1000,64.130000,64.480000,0.350000
2016-11-11,3611,鼎翰,384.484730,200,69.350000,69.700000,0.350000
2016-11-11,6414,樺漢,458.835416,200,73.850000,74.200000,0.350000
2016-11-11,2548,華固,188.216708,400,59.300000,59.650000,0.350000
2016-11-11,2601,益航,8.872783,1000,40.370000,40.710000,0.340000
2016-11-11,3323,加百裕,31.590139,1000,25.440000,25.780000,0.340000
2016-11-11,8437,大地-KY,190.028082,400,54.490000,54.820000,0.330000
2016-11-11,2908,特力,34.414822,1000,79.210000,79.530000,0.320000
2016-11-11,3491,昇達科,132.091310,600,23.910000,24.230000,0.320000
2016-11-11,2886,兆豐金,41.008353,1000,85.090000,85.410000,0.320000
2016-11-11,6140,訊達電腦,,100,85.700000,86.020000,0.320000
2016-11-11,8420,名稱待補,23.313862,1000,65.890000,66.210000,0.320000
2016-11-11,1513,中興電,31.760738,1000,49.870000,50.180000,0.310000
2016-11-11,3479,安勤,89.404050,800,46.220000,46.530000,0.310000
2016-11-11,6111,光聚晶電,55.759894,1000,73.450000,73.760000,0.310000
2016-11-11,3535,晶彩科,24.419760,1000,20.640000,20.950000,0.310000
2016-11-11,3022,威強電,163.298459,400,65.620000,65.920000,0.300000
2016-11-11,4712,名稱待補,,100,71.040000,71.340000,0.300000
2016-11-11,2538,基泰,23.505487,1000,51.670000,51.970000,0.300000
2016-11-11,3376,新日興,155.758800,600,60.660000,60.940000,0.280000
2016-11-11,5534,長虹,184.357315,400,72.500000,72.780000,0.280000
2016-11-11,6146,耕興,268.622003,200,80.880000,81.150000,0.270000
2016-11-11,1235,興泰,48.192935,1000,71.870000,72.140000,0.270000
2016-11-11,8081,致新,141.915266,600,38.500000,38.770000,0.270000
2016-11-11,6279,胡連,253.252435,400,65.170000,65.430000,0.260000
2016-11-11,6416,瑞祺電通,,100,81.700000,81.960000,0.260000
2016-11-11,3047,訊舟,22.234854,1000,27.790000,28.050000,0.260000
2016-11-11,3162,精確,9.257041,1000,21.910000,22.170000,0.260000
2016-11-11,8021,尖點,35.413019,1000,27.950000,28.210000,0.260000
2016-11-11,3057,喬鼎,21.433766,1000,18.300000,18.560000,0.260000
2016-11-11,1787,名稱待補,31.228278,1000,29.880000,30.130000,0.250000
2016-11-11,8070,長華*,,100,81.470000,81.720000,0.250000
2016-11-11,8183,精星,11.717658,1000,58.170000,58.420000,0.250000
2016-11-11,9938,百和,205.076423,400,81.670000,81.920000,0.250000
2016-11-11,3252,海灣,1.355871,1000,38.570000,38.810000,0.240000
2016-11-11,8933,愛地雅,16.049923,1000,19.200000,19.440000,0.240000
2016-11-11,3030,德律,141.253632,600,64.280000,64.520000,0.240000
2016-11-11,5007,三星,108.498883,800,79.060000,79.300000,0.240000
2016-11-11,6605,帝寶,148.632725,600,75.750000,75.990000,0.240000
2016-11-11,1203,味王,31.838250,1000,76.780000,77.010000,0.230000
2016-11-11,2913,農林,10.359720,1000,48.830000,49.060000,0.230000
2016-11-11,3579,名稱待補,13.608124,1000,60.120000,60.350000,0.230000
2016-11-11,5608,四維航,20.970784,1000,44.540000,44.770000,0.230000
2016-11-11,1473,台南,55.507380,1000,60.170000,60.400000,0.230000
2016-11-11,3311,閎暉,41.918239,1000,42.710000,42.940000,0.230000
2016-11-11,3675,德微,27.904507,1000,57.590000,57.820000,0.230000
2016-11-11,1808,潤隆,138.442594,600,74.990000,75.210000,0.220000
2016-11-11,1218,泰山,18.527950,1000,63.540000,63.760000,0.220000
2016-11-11,1558,伸興,288.507395,200,61.580000,61.800000,0.220000
2016-11-11,1611,中電,11.046951,1000,63.440000,63.660000,0.220000
2016-11-11,2706,第一店,45.327603,1000,84.940000,85.160000,0.220000
2016-11-11,4133,亞諾法,44.023619,1000,32.320000,32.540000,0.220000
2016-11-11,5512,力麒,18.773963,1000,54.040000,54.260000,0.220000
2016-11-11,6237,驊訊,32.101297,1000,24.800000,25.020000,0.220000
2016-11-11,1308,亞聚,55.566244,1000,52.880000,53.090000,0.210000
2016-11-11,2616,山隆,50.739836,1000,56.260000,56.470000,0.210000
2016-11-11,5309,系統電,10.300000,1000,17.910000,18.120000,0.210000
2016-11-11,1325,恆大,29.504649,1000,74.400000,74.610000,0.210000
2016-11-11,1707,葡萄王,404.483775,200,76.150000,76.360000,0.210000
2016-11-11,2882,國泰金,76.700779,1000,79.370000,79.580000,0.210000
2016-11-11,2349,錸德,3.333733,1000,24.330000,24.530000,0.200000
2016-11-11,2457,飛宏,15.460137,1000,26.150000,26.350000,0.200000
2016-11-11,2736,富野,24.996093,1000,42.800000,43.000000,0.200000
2016-11-11,1718,中纖,11.271211,1000,47.490000,47.690000,0.200000
2016-11-11,2331,精英,26.071784,1000,61.600000,61.800000,0.200000
2016-11-11,6208,日揚,19.906378,1000,64.500000,25.790000,-38.710000
2016-11-11,2028,威致,1.800000,1000,100.000000,68.330000,-31.670000
2016-11-11,6207,雷科,46.382092,1000,41.880000,20.740000,-21.140000
2016-11-11,6205,詮欣,51.484031,1000,57.920000,39.550000,-18.370000
2016-11-11,8442,威宏-KY,44.550000,1000,88.760000,78.650000,-10.110000
2016-11-11,6203,海韻電,79.650983,1000,74.550000,65.160000,-9.390000
2016-11-11,4943,康控-KY,59.000000,1000,79.740000,72.460000,-7.280000
2016-11-11,6204,艾華,35.064007,1000,65.020000,58.290000,-6.730000
2016-11-11,6451,訊芯-KY,106.961745,800,74.050000,70.010000,-4.040000
2016-11-11,6230,尼得科超眾,208.449586,400,66.120000,62.260000,-3.860000
2016-11-11,3236,千如,29.354630,1000,30.180000,26.930000,-3.250000
2016-11-11,4979,華星光,43.796345,1000,13.200000,9.980000,-3.220000
2016-11-11,4541,晟田,28.979676,1000,44.640000,41.790000,-2.850000
2016-11-11,9912,偉聯,11.542131,1000,31.200000,28.650000,-2.550000
2016-11-11,5481,新華,18.100806,1000,63.520000,61.040000,-2.480000
2016-11-11,3324,雙鴻,98.328998,800,38.150000,35.700000,-2.450000
2016-11-11,8071,能率網通,4.570139,1000,52.780000,50.410000,-2.370000
2016-11-11,4968,立積,58.870219,1000,33.790000,31.420000,-2.370000
2016-11-11,6238,名稱待補,27.541652,1000,41.870000,39.660000,-2.210000
2016-11-11,8937,合騏*,10.888770,1000,35.520000,33.400000,-2.120000
2016-11-11,9960,邁達康,91.164876,800,60.630000,58.590000,-2.040000
2016-11-11,6179,亞通,30.478878,1000,44.810000,42.780000,-2.030000
2016-11-11,3284,太普高,24.212273,1000,39.240000,37.290000,-1.950000
2016-11-11,5443,均豪,19.065809,1000,27.150000,25.240000,-1.910000
2016-11-11,3011,今皓,8.097466,1000,23.090000,21.190000,-1.900000
2016-11-11,6105,名稱待補,74.286953,1000,41.140000,39.350000,-1.790000
2016-11-11,3025,星通,13.759504,1000,36.620000,34.840000,-1.780000
2016-11-11,3006,晶豪科,52.696013,1000,28.870000,27.100000,-1.770000
2016-11-11,4109,加捷生醫,33.877171,1000,30.340000,28.570000,-1.770000
2016-11-11,3455,由田,46.501019,1000,18.590000,16.930000,-1.660000
2016-11-11,2419,仲琦,30.767289,1000,36.690000,35.030000,-1.660000
2016-11-11,4984,名稱待補,70.954494,1000,31.980000,30.340000,-1.640000
2016-11-11,4528,江興鍛,69.173085,1000,60.400000,58.820000,-1.580000
2016-11-11,5264,名稱待補,95.113335,800,79.000000,77.420000,-1.580000
2016-11-11,3672,康聯訊,36.647579,1000,31.220000,29.650000,-1.570000
2016-11-11,4417,金洲,73.044613,1000,43.220000,41.700000,-1.520000
2016-11-11,8446,華研,152.939928,600,56.310000,54.850000,-1.460000
2016-11-11,4746,台耀,101.331668,800,44.480000,43.040000,-1.440000
2016-11-11,9911,櫻花,44.257516,1000,63.730000,62.310000,-1.420000
2016-11-11,4119,旭富,180.600102,400,43.810000,42.410000,-1.400000
2016-11-11,8086,宏捷科,54.716428,1000,13.810000,12.410000,-1.400000
2016-11-11,4991,環宇-KY,107.862318,800,35.780000,34.380000,-1.400000
2016-11-11,2901,欣欣,28.220598,1000,69.000000,67.610000,-1.390000
2016-11-11,3260,威剛,65.162774,1000,30.780000,29.400000,-1.380000
2016-11-11,6243,迅杰,17.966719,1000,9.340000,7.990000,-1.350000
2016-11-11,6269,台郡,186.199137,400,61.790000,60.450000,-1.340000
2016-11-11,2070,精湛,,100,88.500000,87.170000,-1.330000
2016-11-11,5301,寶得利,2.678493,1000,80.310000,78.990000,-1.320000
2016-11-11,1582,信錦,107.883520,800,47.770000,46.460000,-1.310000
2016-11-11,6143,振曜,131.963706,600,43.540000,42.240000,-1.300000
2016-11-11,6531,愛普*,64.178740,1000,52.370000,51.070000,-1.300000
2016-11-11,2031,新光鋼,36.674208,1000,39.280000,38.010000,-1.270000
2016-11-11,3144,名稱待補,6.309134,1000,63.230000,61.980000,-1.250000
2016-11-11,6209,今國光,31.460515,1000,35.100000,33.850000,-1.250000
2016-11-11,2485,兆赫,70.557144,1000,33.240000,32.000000,-1.240000
2016-11-11,5439,高技,53.247187,1000,34.400000,33.200000,-1.200000
2016-11-11,4714,永捷,13.833308,1000,32.810000,31.640000,-1.170000
2016-11-11,3078,僑威,54.511041,1000,51.840000,50.690000,-1.150000
2016-11-11,1815,富喬,15.365628,1000,44.990000,43.860000,-1.130000
2016-11-11,3265,台星科,25.802169,1000,59.630000,58.510000,-1.120000
2016-11-11,2355,敬鵬,104.435099,800,65.600000,64.480000,-1.120000
2016-11-11,3545,敦泰,37.214757,1000,45.480000,44.380000,-1.100000
2016-11-11,6173,信昌電,19.798871,1000,53.750000,52.670000,-1.080000
2016-11-11,3679,新至陞,102.903994,800,65.530000,64.460000,-1.070000
2016-11-11,4130,健亞,38.623282,1000,41.090000,40.030000,-1.060000
2016-11-11,2421,建準,45.634390,1000,59.410000,58.350000,-1.060000
2016-11-11,2464,盟立,90.476906,800,40.150000,39.100000,-1.050000
2016-11-11,3081,聯亞,348.551607,200,70.980000,69.930000,-1.050000
2016-11-11,8271,宇瞻,40.537049,1000,25.360000,24.330000,-1.030000
2016-11-11,6568,宏觀,,100,66.430000,65.410000,-1.020000
2016-11-11,5227,立凱-KY,32.400000,1000,35.990000,34.980000,-1.010000
2016-11-11,3454,名稱待補,174.366730,400,46.380000,45.430000,-0.950000
2016-11-11,8916,光隆,73.457108,1000,53.080000,52.140000,-0.940000
2016-11-11,8436,大江,246.455156,400,60.080000,59.180000,-0.900000
